grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
17257,6,29.75,0.03125,284.125,49529830000000.0,29.959814711518348
17416,7,27.375,0.0087890625,284.0,49491445000000.0,27.584814711518348
17575,7,25.875,-0.0068359375,284.0,49498156000000.0,26.084814711518348
17734,7,25.5,-0.0234375,284.0,49504867000000.0,25.709814711518348
16940,7,27.125,0.024414062,284.0,49497887000000.0,27.334814711518348
17099,7,26.125,0.053710938,284.0,49497350000000.0,26.334814711518348
17258,7,26.625,0.051757812,284.0,49500035000000.0,26.834814711518348
17417,7,27.375,0.018554688,284.0,49500303000000.0,27.584814711518348
17576,7,25.625,0.00390625,284.0,49501646000000.0,25.834814711518348
17735,7,26.125,-0.020507812,284.0,49505940000000.0,26.334814711518348
17894,7,25.0,-0.041015625,284.0,49503525000000.0,25.209814711518348
16623,7,30.0,-0.03125,284.0,49500035000000.0,30.209814711518348
16782,7,26.875,-0.0068359375,284.0,49499230000000.0,27.084814711518348
16941,7,26.75,0.029296875,284.0,49499767000000.0,26.959814711518348
17100,7,25.0,0.033203125,284.0,49505940000000.0,25.209814711518348
17259,7,25.0,0.016601562,284.0,49509967000000.0,25.209814711518348
17418,7,27.125,0.0009765625,284.0,49502182000000.0,27.334814711518348
17577,7,25.875,-0.0068359375,284.0,49505404000000.0,26.084814711518348
17736,7,27.0,-0.022460938,284.0,49509967000000.0,27.209814711518348
17895,7,26.5,-0.0390625,284.0,49506477000000.0,26.709814711518348
16465,7,27.5,-0.041015625,284.0,49495203000000.0,27.709814711518348
16624,6,31.875,-0.033203125,284.125,49531980000000.0,32.08481471151835
16783,7,27.25,0.0146484375,284.0,49498693000000.0,27.459814711518348
16942,7,28.375,0.0234375,284.0,49504867000000.0,28.584814711518348
17101,7,26.875,0.0029296875,284.0,49508893000000.0,27.084814711518348
17260,7,25.125,-0.0078125,284.0,49508625000000.0,25.334814711518348
17419,7,26.25,0.0087890625,284.0,49502450000000.0,26.459814711518348
17578,7,25.0,-0.0029296875,284.0,49502988000000.0,25.209814711518348
17737,7,26.75,-0.021484375,284.0,49509430000000.0,26.959814711518348
17896,7,25.125,-0.03515625,284.0,49505404000000.0,25.334814711518348
18055,7,23.75,-0.029296875,284.0,49501377000000.0,23.959814711518348
16307,7,27.75,-0.064453125,284.0,49495740000000.0,27.959814711518348
16466,7,26.5,-0.028320312,284.0,49494666000000.0,26.709814711518348
16625,6,29.875,-0.001953125,284.0,49527684000000.0,30.084814711518348
16784,7,26.75,0.021484375,284.0,49504330000000.0,26.959814711518348
16943,7,28.0,0.0078125,284.0,49508625000000.0,28.209814711518348
17102,7,27.5,0.0078125,284.0,49506477000000.0,27.709814711518348
17261,7,26.375,0.013671875,284.0,49506477000000.0,26.584814711518348
17420,7,25.625,0.028320312,284.0,49508625000000.0,25.834814711518348
17579,7,23.375,0.018554688,284.0,49503525000000.0,23.584814711518348
17738,7,25.625,-0.0087890625,284.0,49507014000000.0,25.834814711518348
17897,7,24.375,-0.0107421875,284.0,49504330000000.0,24.584814711518348
18056,7,22.75,0.001953125,284.0,49505135000000.0,22.959814711518348
