grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
15183,6,,0.01171875,286.125,49204488000000.0,
15342,6,,-0.05859375,286.0,49221667000000.0,
15501,6,,-0.053710938,286.0,49235358000000.0,
15660,6,,-0.047851562,286.0,49234284000000.0,
15819,6,,-0.044921875,286.0,49227573000000.0,
15978,6,,0.037109375,286.0,49236970000000.0,
16137,7,,0.045898438,285.875,49224083000000.0,
16296,7,,0.026367188,286.0,49234015000000.0,
16455,7,,0.02734375,286.0,49220057000000.0,
16614,7,,0.09863281,286.125,49199120000000.0,
16773,7,,0.1171875,286.0,49194020000000.0,
16932,7,,0.0009765625,286.0,49196703000000.0,
17091,6,,-0.043945312,286.0,49217640000000.0,
17250,6,,0.00390625,285.875,49219250000000.0,
17409,6,,0.072265625,286.0,49245560000000.0,
17568,6,,0.16894531,286.0,49209320000000.0,
17727,6,,0.125,286.125,49209588000000.0,
17886,7,,0.0546875,286.0,49182476000000.0,
18045,6,,-0.10546875,286.125,49226500000000.0,
18204,6,,-0.21191406,286.0,49232136000000.0,
18363,6,,-0.1796875,285.875,49233747000000.0,
18522,6,,-0.125,285.875,49231600000000.0,
18681,6,,-0.068359375,286.0,49223546000000.0,
18840,6,,0.0234375,286.125,49204756000000.0,
18999,6,,0.123046875,286.25,49165028000000.0,
19158,6,,0.087890625,286.25,49178986000000.0,
19317,7,,-0.059570312,285.875,49203950000000.0,
19476,7,,-0.17089844,285.875,49244484000000.0,
19635,7,,-0.16894531,285.875,49252270000000.0,
19794,7,,-0.12109375,285.875,49253880000000.0,
19953,7,,-0.080078125,286.0,49255760000000.0,
15184,6,,0.051757812,286.125,49201535000000.0,
15343,6,,-0.00390625,286.0,49221667000000.0,
15502,6,,-0.033203125,286.0,49240995000000.0,
15661,6,,-0.045898438,286.0,49242605000000.0,
15820,6,,0.0087890625,286.0,49228915000000.0,
15979,6,,0.041015625,286.0,49246095000000.0,
16138,7,,-0.026367188,285.875,49230794000000.0,
16297,7,,-0.049804688,286.0,49238580000000.0,
16456,7,,-0.018554688,286.0,49217640000000.0,
16615,7,,0.055664062,286.0,49199120000000.0,
16774,7,,0.08984375,286.125,49196703000000.0,
16933,7,,0.025390625,286.0,49196703000000.0,
17092,6,,-0.016601562,286.0,49228647000000.0,
17251,6,,-0.013671875,286.0,49237237000000.0,
17410,7,,-0.1015625,285.875,49228647000000.0,
17569,7,,-0.01953125,285.875,49221130000000.0,
17728,7,,-0.0068359375,286.0,49197240000000.0,
17887,6,,-0.036132812,286.125,49198045000000.0,
18046,6,,-0.10839844,286.0,49197240000000.0,
18205,6,,-0.15234375,285.875,49214150000000.0,
18364,6,,-0.14550781,285.875,49224083000000.0,
18523,6,,-0.099609375,285.875,49234015000000.0,
18682,6,,-0.059570312,285.875,49225157000000.0,
18841,6,,0.01953125,286.0,49208514000000.0,
19000,6,,0.15039062,286.125,49166370000000.0,
19159,6,,0.18554688,286.125,49158050000000.0,
19318,6,,0.057617188,286.125,49219520000000.0,
19477,7,,-0.17675781,285.875,49236430000000.0,
19636,7,,-0.20117188,285.875,49249048000000.0,
19795,7,,-0.15917969,285.875,49251464000000.0,
19954,7,,-0.123046875,286.0,49254953000000.0,
15185,6,,0.07324219,286.125,49201266000000.0,
15344,6,,-0.001953125,286.125,49220860000000.0,
15503,7,,-0.08300781,285.875,49210393000000.0,
15662,7,,-0.072265625,285.875,49217640000000.0,
15821,6,,0.021484375,286.0,49244216000000.0,
15980,7,,-0.041992188,285.875,49220325000000.0,
16139,7,,-0.07421875,285.875,49227036000000.0,
16298,7,,-0.07324219,286.0,49237237000000.0,
16457,7,,-0.03515625,286.0,49224620000000.0,
16616,7,,0.041015625,286.0,49203145000000.0,
16775,7,,0.080078125,286.125,49191066000000.0,
16934,7,,0.053710938,286.0,49191870000000.0,
17093,6,,-0.0078125,286.125,49230526000000.0,
17252,6,,-0.08886719,286.0,49242337000000.0,
17411,6,,-0.18945312,286.0,49242605000000.0,
17570,7,,-0.16113281,285.875,49211467000000.0,
17729,6,,-0.0859375,286.125,49209050000000.0,
17888,6,,0.020507812,286.125,49179255000000.0,
18047,5,,0.044921875,286.25,49200730000000.0,
18206,6,,-0.0009765625,286.0,49208246000000.0,
18365,6,,-0.041992188,285.875,49224890000000.0,
18524,6,,-0.064453125,285.875,49239384000000.0,
18683,6,,-0.0087890625,285.875,49233480000000.0,
18842,6,,0.043945312,286.0,49216030000000.0,
19001,6,,0.19824219,286.125,49175765000000.0,
19160,6,,0.3154297,286.125,49159390000000.0,
19319,6,,0.17871094,286.125,49210930000000.0,
19478,7,,-0.12792969,285.875,49230526000000.0,
19637,7,,-0.2109375,285.875,49248510000000.0,
19796,7,,-0.17480469,285.875,49247706000000.0,
19955,7,,-0.14355469,285.875,49247437000000.0,
15186,6,,0.068359375,286.25,49202877000000.0,
15345,6,,-0.0029296875,286.125,49213883000000.0,
15504,6,,-0.055664062,286.125,49232673000000.0,
15663,7,,-0.08105469,285.875,49219250000000.0,
15822,7,,-0.059570312,285.875,49221667000000.0,
15981,7,,-0.064453125,285.875,49218446000000.0,
16140,7,,-0.060546875,285.875,49223546000000.0,
16299,7,,-0.07128906,285.875,49236430000000.0,
16458,7,,-0.06347656,286.0,49227305000000.0,
16617,7,,-0.009765625,286.0,49217372000000.0,
16776,7,,0.0546875,286.0,49195630000000.0,
16935,7,,0.068359375,286.0,49188650000000.0,
17094,7,,-0.013671875,286.0,49200998000000.0,
17253,6,,-0.09863281,286.0,49239116000000.0,
17412,6,,-0.1171875,286.0,49230257000000.0,
17571,6,,-0.08691406,286.0,49231330000000.0,
17730,6,,0.03125,286.0,49206635000000.0,
