grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
83,3,335.25,-0.040039062,286.75,49144895000000.0,335.25
94,3,327.875,-0.0390625,286.75,49163954000000.0,327.875
84,3,316.0,-0.040039062,286.5,49136036000000.0,316.0
95,3,305.125,-0.016601562,286.5,49168250000000.0,305.125
85,3,295.375,-0.017578125,286.25,49122078000000.0,295.375
96,3,296.5,0.017578125,286.375,49191334000000.0,296.5
86,3,275.625,0.030273438,286.125,49133620000000.0,275.625
97,3,255.5,0.040039062,286.25,49231600000000.0,255.5
