grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1397,6,,0.13183594,285.75,49496010000000.0,
1446,6,,0.051757812,285.75,49538960000000.0,
1495,6,,0.046875,285.625,49570633000000.0,
1544,7,,-0.053710938,285.375,49575197000000.0,
1593,6,,0.0126953125,285.625,49574660000000.0,
1642,6,,0.068359375,285.625,49547816000000.0,
1691,6,,0.12011719,285.875,49485808000000.0,
1740,6,,0.19726562,286.0,49467554000000.0,
1789,6,,0.17578125,285.75,49502988000000.0,
1838,7,,0.02734375,285.5,49570097000000.0,
1398,6,,0.14746094,285.75,49528220000000.0,
1447,6,,0.072265625,285.75,49539495000000.0,
1496,7,,-0.03515625,285.375,49558554000000.0,
1545,7,,-0.11816406,285.375,49568754000000.0,
1594,6,,-0.034179688,285.5,49582176000000.0,
1643,7,268.625,0.03125,285.375,49540570000000.0,278.3954656832018
1692,7,,0.16308594,285.625,49508625000000.0,
1741,6,,0.22167969,286.0,49500840000000.0,
1790,7,,0.20410156,285.75,49519900000000.0,
1839,7,,-0.022460938,285.5,49568754000000.0,
1399,7,,0.125,285.625,49520704000000.0,
1448,7,,0.015625,285.5,49532516000000.0,
1497,7,,-0.125,285.375,49544864000000.0,
1546,7,263.375,-0.119140625,285.375,49565533000000.0,273.1454656832018
1595,7,255.75,-0.036132812,285.25,49564728000000.0,265.5204656832018
1644,7,259.625,0.013671875,285.375,49553990000000.0,269.3954656832018
1693,7,256.5,0.0859375,285.5,49525536000000.0,266.2704656832018
1742,7,,0.18652344,285.75,49503793000000.0,
1791,7,,0.111328125,285.75,49513994000000.0,
1840,7,,-0.016601562,285.5,49564728000000.0,
1400,7,,0.044921875,285.5,49545132000000.0,
1449,6,,-0.09472656,285.75,49541910000000.0,
1498,6,276.25,-0.13867188,285.5,49546474000000.0,286.0204656832018
1547,6,275.0,-0.083984375,285.5,49580297000000.0,284.7704656832018
1596,7,266.5,-0.022460938,285.25,49576002000000.0,276.2704656832018
1645,7,263.625,0.015625,285.375,49570365000000.0,273.3954656832018
1694,7,253.125,0.078125,285.5,49543253000000.0,262.8954656832018
1743,7,,0.13183594,285.75,49523657000000.0,
