grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1397,6,,0.076171875,288.875,48854180000000.0,
1446,6,,0.11035156,289.25,48832436000000.0,
1495,7,,0.19042969,289.0,48803980000000.0,
1544,7,,0.04296875,289.0,48849616000000.0,
1593,7,,0.00390625,288.75,48851763000000.0,
1642,6,,0.028320312,289.0,48874850000000.0,
1691,6,,0.029296875,288.875,48860620000000.0,
1740,6,,0.072265625,288.75,48878607000000.0,
1789,6,,0.11425781,288.75,48887734000000.0,
1838,7,,0.037109375,288.625,48918604000000.0,
1398,6,,0.06347656,288.875,48900620000000.0,
1447,6,,0.08300781,289.125,48857670000000.0,
1496,7,,0.11621094,289.125,48826530000000.0,
1545,7,,0.01953125,289.0,48834315000000.0,
1594,7,,-0.00390625,288.75,48849080000000.0,
1643,7,366.125,0.016601562,288.75,48865990000000.0,376.86681862324446
1692,7,,0.078125,288.625,48876996000000.0,
1741,7,,0.10546875,288.625,48885855000000.0,
1790,7,,0.09472656,288.625,48919140000000.0,
1839,7,,-0.024414062,288.625,48925583000000.0,
1399,7,,-0.03125,288.5,48907330000000.0,
1448,7,,-0.041992188,288.75,48878607000000.0,
1497,7,,-0.009765625,289.0,48830290000000.0,
1546,7,350.25,0.041015625,289.0,48827336000000.0,360.99181862324446
1595,7,338.0,0.038085938,288.875,48848274000000.0,348.74181862324446
1644,7,353.0,0.0146484375,288.75,48869750000000.0,363.74181862324446
1693,7,349.5,0.024414062,288.625,48882097000000.0,360.24181862324446
1742,7,,0.047851562,288.625,48903840000000.0,
1791,7,,-0.04296875,288.625,48920750000000.0,
1840,7,,-0.041992188,288.5,48930950000000.0,
1400,7,,-0.16210938,288.5,48934710000000.0,
1449,6,,-0.21289062,288.875,48899010000000.0,
1498,6,384.25,-0.09765625,289.0,48846126000000.0,394.99181862324446
1547,6,359.125,0.041015625,289.125,48838880000000.0,369.86681862324446
1596,7,347.875,0.0859375,288.875,48849347000000.0,358.61681862324446
1645,7,351.25,0.033203125,288.75,48875923000000.0,361.99181862324446
1694,7,339.75,0.03125,288.625,48889076000000.0,350.49181862324446
1743,7,,0.001953125,288.625,48911893000000.0,
1792,7,,-0.036132812,288.625,48915383000000.0,
1841,7,,-0.034179688,288.5,48934440000000.0,
1401,7,,-0.29882812,288.5,48936050000000.0,
1450,6,,-0.2421875,288.625,48891760000000.0,
1499,5,396.25,-0.09765625,289.125,48850690000000.0,406.99181862324446
1548,6,375.5,0.040039062,289.125,48843980000000.0,386.24181862324446
1597,7,349.875,0.08984375,288.875,48853910000000.0,360.61681862324446
1646,7,337.25,0.046875,288.75,48880754000000.0,347.99181862324446
1695,7,327.0,0.029296875,288.75,48898470000000.0,337.74181862324446
1744,7,,-0.0068359375,288.625,48914040000000.0,
1793,7,,-0.025390625,288.625,48922360000000.0,
1842,7,,-0.044921875,288.5,48936590000000.0,
1402,7,,-0.29785156,288.5,48923704000000.0,
1451,6,,-0.22167969,288.5,48903035000000.0,
1500,5,397.0,-0.06738281,288.875,48863038000000.0,407.74181862324446
1549,6,388.125,0.00390625,289.0,48846663000000.0,398.86681862324446
1598,7,351.875,0.076171875,288.875,48848005000000.0,362.61681862324446
1647,7,321.625,0.059570312,288.875,48881023000000.0,332.36681862324446
1696,7,336.375,-0.009765625,288.75,48907330000000.0,347.11681862324446
1745,7,,-0.04296875,288.625,48918872000000.0,
1794,7,,-0.029296875,288.625,48921825000000.0,
1843,7,,-0.030273438,288.5,48937663000000.0,
1403,6,,-0.21386719,288.75,48920750000000.0,
1452,6,,-0.24804688,288.5,48908940000000.0,
1501,5,384.125,-0.06738281,288.75,48879680000000.0,394.86681862324446
1550,5,396.25,0.009765625,289.0,48860353000000.0,406.99181862324446
1599,6,349.375,0.048828125,289.0,48867870000000.0,360.11681862324446
