grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
15183,6,,-0.12988281,291.25,48352740000000.0,
15342,6,,-0.2265625,291.125,48373950000000.0,
15501,6,,-0.19238281,291.125,48384417000000.0,
15660,6,,-0.07128906,291.25,48369920000000.0,
15819,6,,0.15332031,291.375,48331000000000.0,
15978,6,,0.56347656,291.875,48274090000000.0,
16137,7,,0.7480469,292.125,48195976000000.0,
16296,7,,0.30859375,292.125,48229530000000.0,
16455,7,,-0.2890625,291.5,48329656000000.0,
16614,7,,-0.4248047,291.0,48394886000000.0,
16773,7,,-0.30664062,290.875,48413140000000.0,
16932,7,,-0.19140625,290.875,48401866000000.0,
17091,6,,0.17675781,291.125,48376364000000.0,
17250,6,,0.5214844,291.375,48328314000000.0,
17409,6,,0.62109375,291.875,48288050000000.0,
17568,6,,0.3779297,292.0,48230335000000.0,
17727,6,,0.029296875,292.125,48240804000000.0,
17886,7,,0.08496094,292.0,48213960000000.0,
18045,7,,0.2548828,292.125,48199197000000.0,
18204,6,,0.051757812,292.125,48231946000000.0,
18363,6,,-0.17578125,291.625,48305766000000.0,
18522,6,,-0.20410156,291.375,48330730000000.0,
18681,6,,-0.20703125,291.375,48339320000000.0,
18840,6,,-0.31933594,291.375,48353547000000.0,
18999,6,,-0.39160156,291.25,48356500000000.0,
19158,6,,-0.33984375,291.125,48379585000000.0,
19317,7,,-0.32226562,291.0,48384686000000.0,
19476,7,,-0.2734375,291.125,48392200000000.0,
19635,7,,-0.24121094,291.125,48383075000000.0,
19794,7,,-0.19824219,291.25,48376900000000.0,
19953,7,,-0.25878906,291.25,48384954000000.0,
15184,6,,-0.109375,291.25,48364553000000.0,
15343,6,,-0.18359375,291.125,48385760000000.0,
15502,6,,-0.23144531,291.125,48402402000000.0,
15661,6,,-0.21191406,291.125,48395155000000.0,
15820,6,,-0.056640625,291.25,48363210000000.0,
15979,6,,0.19238281,291.5,48334490000000.0,
16138,7,,0.3359375,291.75,48259326000000.0,
16297,7,,0.21777344,292.0,48238925000000.0,
16456,7,,-0.20703125,291.625,48299323000000.0,
16615,7,,-0.46875,291.125,48378243000000.0,
16774,7,,-0.51171875,290.875,48419850000000.0,
16933,7,,-0.4482422,290.75,48420656000000.0,
17092,6,,-0.072265625,291.0,48416630000000.0,
17251,6,,0.2578125,291.125,48384954000000.0,
17410,7,,0.48046875,291.375,48319187000000.0,
17569,7,,0.48339844,291.875,48253152000000.0,
17728,7,,0.005859375,292.0,48230872000000.0,
17887,6,,-0.1875,292.25,48229530000000.0,
18046,6,,0.13476562,292.25,48204565000000.0,
18205,6,,0.32421875,292.125,48208860000000.0,
18364,6,,0.10839844,291.625,48278385000000.0,
18523,6,,-0.043945312,291.375,48333146000000.0,
18682,6,,-0.08691406,291.375,48337173000000.0,
18841,6,,-0.19921875,291.375,48348447000000.0,
19000,6,,-0.25585938,291.125,48350594000000.0,
19159,6,,-0.119140625,291.125,48362405000000.0,
19318,6,,-0.0107421875,291.25,48396765000000.0,
19477,7,,-0.13867188,291.0,48391933000000.0,
19636,7,,-0.16308594,291.125,48387907000000.0,
19795,7,,-0.20507812,291.125,48385760000000.0,
19954,7,,-0.36035156,291.125,48399986000000.0,
15185,6,,-0.115234375,291.25,48377170000000.0,
15344,6,,-0.20117188,291.125,48394350000000.0,
15503,7,,-0.37890625,290.875,48394886000000.0,
15662,7,,-0.36914062,290.875,48394350000000.0,
15821,6,,-0.14355469,291.125,48396765000000.0,
15980,7,,-0.18359375,291.125,48353547000000.0,
16139,7,,-0.017578125,291.5,48307645000000.0,
16298,7,,0.09765625,291.875,48269795000000.0,
16457,7,,-0.09765625,291.625,48287780000000.0,
16616,7,,-0.3857422,291.125,48356500000000.0,
16775,7,,-0.57421875,290.875,48409113000000.0,
16934,7,,-0.62402344,290.75,48428710000000.0,
17093,7,,-0.5126953,290.75,48421730000000.0,
17252,6,,-0.22558594,291.0,48424414000000.0,
17411,6,,-0.057617188,291.25,48373143000000.0,
17570,7,,0.29785156,291.5,48282410000000.0,
17729,6,,0.09472656,292.125,48233290000000.0,
17888,6,,-0.022460938,292.0,48210740000000.0,
18047,5,,0.16113281,292.375,48211008000000.0,
18206,6,,0.59277344,292.25,48191680000000.0,
18365,6,,0.48046875,292.0,48237046000000.0,
18524,6,,0.15917969,291.625,48316235000000.0,
18683,6,,0.07128906,291.5,48335025000000.0,
18842,6,,-0.013671875,291.375,48339590000000.0,
19001,6,,-0.0146484375,291.25,48343347000000.0,
19160,6,,0.19335938,291.125,48355158000000.0,
19319,7,,0.1796875,291.0,48374754000000.0,
19478,7,,0.05078125,291.125,48384954000000.0,
19637,7,,-0.059570312,291.125,48386296000000.0,
19796,7,,-0.20703125,291.125,48389250000000.0,
19955,7,,-0.43164062,291.0,48406430000000.0,
15186,6,,-0.171875,291.25,48390590000000.0,
15345,6,,-0.20703125,291.125,48395690000000.0,
15504,6,,-0.265625,291.125,48407770000000.0,
15663,7,,-0.33007812,290.875,48401597000000.0,
15822,7,,-0.28710938,290.875,48394080000000.0,
15981,7,,-0.25195312,291.0,48373143000000.0,
16140,7,,-0.1171875,291.25,48341736000000.0,
16299,7,,0.044921875,291.625,48303620000000.0,
16458,7,,0.021484375,291.75,48280533000000.0,
16617,7,,-0.21875,291.375,48331267000000.0,
16776,7,,-0.48046875,291.0,48387907000000.0,
16935,7,,-0.6328125,290.75,48424414000000.0,
17094,7,,-0.69628906,290.75,48436225000000.0,
17253,7,,-0.6738281,290.75,48422267000000.0,
17412,6,,-0.31835938,291.0,48405624000000.0,
17571,6,,0.045898438,291.375,48349520000000.0,
17730,6,,0.34179688,291.75,48260400000000.0,
17889,6,,0.34960938,292.0,48224160000000.0,
18048,6,,0.36621094,292.125,48213155000000.0,
18207,6,,0.5732422,292.25,48198660000000.0,
18366,6,,0.6640625,292.25,48205640000000.0,
18525,6,,0.375,291.875,48279190000000.0,
18684,6,,0.19726562,291.5,48333950000000.0,
18843,6,,0.14746094,291.5,48335560000000.0,
19002,6,,0.27441406,291.375,48337978000000.0,
19161,6,,0.40429688,291.25,48366430000000.0,
19320,7,,0.25390625,291.125,48377438000000.0,
19479,7,,0.10546875,291.125,48377438000000.0,
19638,7,,-0.015625,291.125,48378243000000.0,
19797,7,,-0.19921875,291.125,48391130000000.0,
19956,7,,-0.40527344,291.0,48406160000000.0,
15187,6,,-0.26171875,291.125,48403208000000.0,
15346,6,,-0.265625,291.125,48406160000000.0,
15505,6,,-0.2109375,291.125,48405087000000.0,
15664,7,,-0.21289062,290.875,48396497000000.0,
15823,7,,-0.17871094,290.875,48399180000000.0,
15982,7,,-0.12597656,291.0,48387907000000.0,
16141,7,,-0.068359375,291.125,48370460000000.0,
16300,7,,-0.034179688,291.375,48339857000000.0,
16459,7,,0.080078125,291.625,48286975000000.0,
16618,7,,0.041015625,291.625,48283485000000.0,
16777,7,,-0.16699219,291.25,48337173000000.0,
16936,7,,-0.43164062,290.875,48395960000000.0,
17095,7,,-0.6123047,290.75,48421460000000.0,
17254,7,,-0.62109375,290.75,48426560000000.0,
17413,6,,-0.3330078,291.0,48438910000000.0,
17572,7,,-0.2685547,290.875,48384150000000.0,
17731,6,,0.18066406,291.5,48338515000000.0,
17890,6,,0.3564453,291.875,48274896000000.0,
18049,7,,0.3564453,291.875,48235167000000.0,
18208,7,,0.4169922,292.0,48209130000000.0,
18367,6,,0.53222656,292.375,48186850000000.0,
18526,6,,0.63183594,292.25,48223087000000.0,
18685,7,,0.43847656,291.5,48300397000000.0,
18844,7,,0.29296875,291.25,48327777000000.0,
19003,7,,0.37597656,291.25,48337710000000.0,
