grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1546,7,38.125,-0.009765625,284.75,49398566000000.0,37.83401334555936
1595,7,36.25,0.030273438,284.75,49396687000000.0,35.95901334555936
1644,7,34.75,0.0390625,284.75,49400177000000.0,34.45901334555936
1693,7,35.25,0.051757812,284.75,49399370000000.0,34.95901334555936
1547,6,42.875,-0.005859375,284.875,49424873000000.0,42.58401334555936
1596,7,39.75,0.040039062,284.75,49401788000000.0,39.45901334555936
1645,7,38.375,0.041015625,284.75,49407156000000.0,38.08401334555936
1694,7,37.25,0.049804688,284.75,49404470000000.0,36.95901334555936
1499,5,51.125,-0.061523438,284.875,49411720000000.0,50.83401334555936
1548,6,46.875,-0.0068359375,284.875,49416015000000.0,46.58401334555936
1597,7,42.75,0.0146484375,284.75,49407156000000.0,42.45901334555936
1646,7,39.125,0.028320312,284.75,49413600000000.0,38.83401334555936
1695,7,37.875,0.041015625,284.75,49413600000000.0,37.58401334555936
1500,5,51.625,-0.0390625,284.875,49401520000000.0,51.33401334555936
1549,6,49.625,-0.03515625,284.875,49399103000000.0,49.33401334555936
1598,7,43.625,-0.021484375,284.75,49395345000000.0,43.33401334555936
1647,7,39.625,0.00390625,284.75,49416015000000.0,39.33401334555936
1696,7,39.25,0.0009765625,284.875,49424336000000.0,38.95901334555936
1501,5,49.125,-0.034179688,284.875,49396687000000.0,48.83401334555936
1550,5,54.625,-0.015625,284.875,49413330000000.0,54.33401334555936
1599,6,47.125,-0.03515625,284.875,49426750000000.0,46.83401334555936
1648,7,38.0,-0.025390625,284.75,49413330000000.0,37.70901334555936
1697,7,40.375,-0.02734375,284.875,49417894000000.0,40.08401334555936
1502,5,51.25,-0.028320312,284.875,49398835000000.0,50.95901334555936
1551,6,49.5,-0.028320312,284.75,49382460000000.0,49.20901334555936
1600,6,45.875,-0.053710938,284.875,49411450000000.0,45.58401334555936
1649,7,39.75,-0.051757812,284.75,49409035000000.0,39.45901334555936
1698,7,40.0,-0.043945312,284.875,49418430000000.0,39.70901334555936
1747,7,44.25,-0.025390625,284.875,49420580000000.0,43.95901334555936
1552,5,47.625,-0.01171875,284.875,49409572000000.0,47.33401334555936
1601,6,43.125,-0.036132812,284.875,49395077000000.0,42.83401334555936
1650,7,38.875,-0.07519531,284.75,49395345000000.0,38.58401334555936
1699,7,40.25,-0.059570312,284.75,49405546000000.0,39.95901334555936
1748,7,42.375,-0.044921875,284.875,49416550000000.0,42.08401334555936
1553,6,43.125,-0.049804688,284.875,49388903000000.0,42.83401334555936
1602,6,44.125,-0.030273438,284.875,49396420000000.0,43.83401334555936
1651,6,41.375,-0.046875,284.875,49415746000000.0,41.08401334555936
1700,7,41.125,-0.0546875,284.75,49399103000000.0,40.83401334555936
1749,7,43.625,-0.043945312,284.75,49405546000000.0,43.33401334555936
1554,5,46.125,-0.06738281,284.875,49398030000000.0,45.83401334555936
1603,6,44.125,-0.045898438,284.875,49389440000000.0,43.83401334555936
1652,6,42.0,-0.029296875,284.875,49413330000000.0,41.70901334555936
1701,7,43.75,-0.037109375,284.75,49385950000000.0,43.45901334555936
1750,7,44.375,-0.033203125,284.75,49401250000000.0,44.08401334555936
1555,5,53.75,-0.0009765625,284.875,49383802000000.0,53.45901334555936
1604,5,52.875,-0.01953125,284.875,49395614000000.0,52.58401334555936
1653,6,46.75,-0.001953125,284.875,49395345000000.0,46.45901334555936
1702,6,47.625,0.021484375,284.875,49415210000000.0,47.33401334555936
1751,7,47.625,0.0029296875,284.75,49387024000000.0,47.33401334555936
1556,5,54.75,0.08691406,284.875,49400177000000.0,54.45901334555936
1605,5,58.75,0.0703125,284.875,49388903000000.0,58.45901334555936
1654,6,49.75,0.057617188,284.875,49387830000000.0,49.45901334555936
1703,7,46.875,0.06738281,284.75,49384070000000.0,46.58401334555936
1752,7,54.125,0.0390625,284.75,49393198000000.0,53.83401334555936
1557,6,56.5,0.11816406,284.875,49402593000000.0,56.20901334555936
1606,6,58.875,0.15820312,284.75,49380850000000.0,58.58401334555936
1655,6,53.75,0.11425781,284.875,49387290000000.0,53.45901334555936
1704,6,50.25,0.059570312,284.875,49413330000000.0,49.95901334555936
1753,6,56.875,0.026367188,284.875,49423530000000.0,56.58401334555936
1607,6,60.75,0.111328125,284.875,49421115000000.0,60.45901334555936
1656,6,61.25,0.11816406,284.875,49413330000000.0,60.95901334555936
1705,6,57.5,0.07421875,284.875,49414136000000.0,57.20901334555936
1754,6,60.875,0.064453125,284.875,49412257000000.0,60.58401334555936
1657,6,63.5,0.0546875,284.875,49420580000000.0,63.20901334555936
1706,7,65.75,0.08496094,284.75,49386220000000.0,65.45901334555937
1755,7,60.75,0.09863281,284.75,49389170000000.0,60.45901334555936
1707,6,72.0,0.020507812,284.875,49425410000000.0,71.70901334555937
