grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1397,6,,0.2626953,292.375,48181210000000.0,
1446,6,,0.17382812,292.25,48223893000000.0,
1495,7,,0.0009765625,291.5,48295297000000.0,
1544,7,,-0.15429688,291.375,48361600000000.0,
1593,7,,-0.07421875,291.25,48343883000000.0,
1642,6,,0.01953125,291.625,48342004000000.0,
1691,6,,0.06640625,291.75,48285900000000.0,
1740,6,,0.21386719,292.125,48228725000000.0,
1789,6,,0.3310547,292.375,48177185000000.0,
1838,7,,0.029296875,291.875,48281070000000.0,
1398,6,,0.2861328,292.375,48204030000000.0,
1447,6,,0.11328125,292.125,48256105000000.0,
1496,7,,-0.12109375,291.5,48334757000000.0,
1545,7,,-0.19238281,291.25,48353816000000.0,
1594,7,,-0.07128906,291.375,48333950000000.0,
1643,7,290.5,0.015625,291.5,48315160000000.0,333.2256450404835
1692,7,,0.115234375,291.625,48287510000000.0,
1741,7,,0.21679688,291.875,48239194000000.0,
1790,7,,0.3203125,292.25,48208590000000.0,
1839,7,,0.06933594,292.0,48248320000000.0,
1399,7,,0.24707031,292.125,48216110000000.0,
1448,7,,-0.0703125,291.625,48298518000000.0,
1497,7,,-0.25390625,291.375,48341200000000.0,
1546,7,339.25,-0.16894531,291.25,48347910000000.0,381.9756450404835
1595,7,301.875,-0.028320312,291.375,48329925000000.0,344.6006450404835
1644,7,290.5,0.041015625,291.5,48307645000000.0,333.2256450404835
1693,7,289.25,0.0703125,291.625,48285096000000.0,331.9756450404835
1742,7,,0.1015625,291.875,48271406000000.0,
1791,7,,0.109375,292.125,48240267000000.0,
1840,7,,0.13378906,292.125,48232483000000.0,
1400,7,,0.06738281,292.0,48260937000000.0,
1449,6,,-0.25585938,291.75,48325093000000.0,
1498,6,392.375,-0.2548828,291.5,48346030000000.0,435.1006450404835
1547,6,355.25,-0.11328125,291.5,48354084000000.0,397.9756450404835
1596,7,312.625,-0.0009765625,291.5,48330730000000.0,355.3506450404835
1645,7,303.0,0.068359375,291.625,48308180000000.0,345.7256450404835
1694,7,303.0,0.103515625,291.75,48287780000000.0,345.7256450404835
1743,7,,0.046875,291.75,48296100000000.0,
1792,7,,0.013671875,291.75,48278117000000.0,
1841,7,,0.10546875,292.0,48259595000000.0,
1401,7,,-0.10253906,291.75,48279460000000.0,
1450,6,,-0.2861328,291.5,48322140000000.0,
1499,5,394.25,-0.17382812,291.625,48334490000000.0,436.9756450404835
1548,6,357.75,-0.09082031,291.5,48347640000000.0,400.4756450404835
1597,7,317.125,-0.024414062,291.5,48335830000000.0,359.8506450404835
1646,7,307.875,0.061523438,291.625,48315698000000.0,350.6006450404835
1695,7,311.25,0.1171875,291.75,48298250000000.0,353.9756450404835
1744,7,,0.05859375,291.625,48305230000000.0,
1793,7,,-0.0078125,291.625,48314356000000.0,
1842,7,,0.0029296875,291.75,48309792000000.0,
1402,7,,-0.13769531,291.75,48283485000000.0,
1451,6,378.0,-0.25683594,291.375,48333950000000.0,420.7256450404835
1500,5,396.375,-0.11425781,291.5,48331804000000.0,439.1006450404835
1549,6,358.625,-0.09375,291.5,48334757000000.0,401.3506450404835
1598,7,315.0,-0.052734375,291.375,48328046000000.0,357.7256450404835
1647,7,308.75,0.03125,291.625,48324288000000.0,351.4756450404835
1696,7,333.375,0.05859375,291.75,48314087000000.0,376.1006450404835
1745,7,312.75,0.038085938,291.625,48317040000000.0,355.4756450404835
1794,7,,0.017578125,291.625,48323482000000.0,
1843,7,,-0.0068359375,291.5,48337440000000.0,
1403,6,,-0.12011719,291.875,48293150000000.0,
1452,6,371.875,-0.2861328,291.375,48341200000000.0,414.6006450404835
1501,5,373.125,-0.10449219,291.5,48338783000000.0,415.8506450404835
1550,5,372.25,-0.030273438,291.625,48334490000000.0,414.9756450404835
1599,6,346.25,-0.04296875,291.625,48344690000000.0,388.9756450404835
