grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
15183,6,,0.025390625,288.75,48884512000000.0,
15342,6,,-0.0859375,288.625,48902498000000.0,
15501,6,,-0.076171875,288.625,48915650000000.0,
15660,6,,-0.064453125,288.625,48910282000000.0,
15819,6,,-0.06640625,288.625,48897934000000.0,
15978,6,,0.055664062,288.75,48905987000000.0,
16137,7,,0.0625,288.5,48910014000000.0,
16296,7,,0.01171875,288.625,48922630000000.0,
16455,7,,-0.083984375,288.625,48918872000000.0,
16614,7,,-0.09277344,288.625,48909477000000.0,
16773,7,,0.0625,288.625,48888270000000.0,
16932,7,,0.5283203,289.25,48778480000000.0,
17091,6,,0.8417969,290.0,48659027000000.0,
17250,6,,0.4580078,289.375,48758080000000.0,
17409,6,,0.17578125,289.125,48846930000000.0,
17568,6,,0.28808594,289.125,48822235000000.0,
17727,6,,0.13964844,289.125,48843710000000.0,
17886,7,,-0.06933594,288.875,48841830000000.0,
18045,6,,-0.1640625,289.0,48863843000000.0,
18204,6,,-0.18945312,288.875,48861964000000.0,
18363,6,,-0.13183594,288.875,48871896000000.0,
18522,6,,-0.111328125,288.75,48884244000000.0,
18681,6,,-0.15234375,288.625,48895520000000.0,
18840,6,,-0.24511719,288.625,48908940000000.0,
18999,6,,-0.32226562,288.625,48902498000000.0,
19158,6,,-0.28710938,288.625,48917530000000.0,
19317,7,,-0.13183594,288.375,48927194000000.0,
19476,7,,-0.08691406,288.375,48942226000000.0,
19635,7,,-0.08984375,288.5,48945447000000.0,
19794,7,,-0.0546875,288.5,48944640000000.0,
19953,7,,0.02734375,288.625,48940615000000.0,
15184,6,,0.061523438,288.75,48890420000000.0,
15343,6,,-0.034179688,288.625,48912967000000.0,
15502,6,,-0.083984375,288.625,48932830000000.0,
15661,6,,-0.087890625,288.625,48929340000000.0,
15820,6,,0.01953125,288.625,48909477000000.0,
15979,6,,0.06738281,288.75,48921020000000.0,
16138,7,,-0.051757812,288.5,48918335000000.0,
16297,7,,-0.10253906,288.625,48926120000000.0,
16456,7,,-0.1171875,288.625,48913503000000.0,
16615,7,,-0.12695312,288.5,48907866000000.0,
16774,7,,-0.08691406,288.625,48903303000000.0,
16933,7,,0.29003906,289.0,48825457000000.0,
17092,6,,0.7548828,290.0,48694997000000.0,
17251,6,,0.62597656,289.75,48722110000000.0,
17410,7,,0.06933594,289.0,48822235000000.0,
17569,7,,0.045898438,289.0,48831900000000.0,
17728,7,,-0.09472656,289.0,48827873000000.0,
17887,6,,-0.2578125,289.125,48836730000000.0,
18046,6,,-0.21972656,289.0,48833510000000.0,
18205,6,,-0.07910156,288.875,48841563000000.0,
18364,6,,-0.016601562,288.875,48855520000000.0,
18523,6,,-0.0146484375,288.75,48879412000000.0,
18682,6,,-0.09375,288.625,48891490000000.0,
18841,6,,-0.19921875,288.625,48906256000000.0,
19000,6,,-0.22851562,288.5,48901424000000.0,
19159,6,,-0.15722656,288.5,48905450000000.0,
19318,6,,-0.04296875,288.625,48940347000000.0,
19477,7,,-0.14453125,288.375,48943300000000.0,
19636,7,,-0.15527344,288.375,48949742000000.0,
19795,7,,-0.14160156,288.5,48950280000000.0,
19954,7,,-0.07519531,288.5,48948130000000.0,
15185,6,,0.08203125,288.75,48896324000000.0,
15344,6,,-0.08105469,288.625,48921557000000.0,
15503,7,,-0.2607422,288.375,48928536000000.0,
15662,7,,-0.19140625,288.25,48933100000000.0,
15821,6,,0.033203125,288.625,48934710000000.0,
15980,7,,-0.07324219,288.375,48919140000000.0,
16139,7,,-0.1328125,288.5,48919946000000.0,
16298,7,,-0.13671875,288.625,48926925000000.0,
16457,7,,-0.11230469,288.625,48919946000000.0,
16616,7,,-0.09277344,288.5,48910282000000.0,
16775,7,,-0.11816406,288.5,48904377000000.0,
16934,7,,0.12988281,288.875,48856327000000.0,
17093,7,,0.71972656,289.5,48723990000000.0,
17252,6,,0.63378906,290.0,48689360000000.0,
17411,6,,0.009765625,289.375,48796197000000.0,
