grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
83,3,49.5,-0.024414062,284.375,49355080000000.0,49.5
94,3,54.875,-0.041015625,284.375,49377360000000.0,54.875
84,3,49.125,-0.032226562,284.25,49325820000000.0,49.125
95,3,53.875,-0.032226562,284.25,49360985000000.0,53.875
85,3,49.375,-0.024414062,284.125,49292266000000.0,49.375
96,3,56.625,-0.009765625,284.25,49363400000000.0,56.625
86,3,47.375,0.0078125,284.0,49282334000000.0,47.375
97,3,52.875,0.0107421875,284.25,49382730000000.0,52.875
