grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1397,6,,0.08984375,289.25,48686676000000.0,
1446,6,,0.048828125,289.25,48712177000000.0,
1495,7,,0.05859375,289.0,48695802000000.0,
1544,7,,-0.017578125,289.125,48720767000000.0,
1593,7,,-0.0107421875,289.0,48702780000000.0,
1642,6,,0.016601562,289.25,48726136000000.0,
1691,6,,0.025390625,289.125,48697950000000.0,
1740,6,,0.07910156,289.25,48698220000000.0,
1789,6,,0.12792969,289.25,48691507000000.0,
1838,7,,0.08691406,289.25,48704930000000.0,
1398,6,,0.09863281,289.25,48714324000000.0,
1447,6,,0.05078125,289.25,48713520000000.0,
1496,7,,-0.005859375,289.125,48708956000000.0,
1545,7,,-0.072265625,289.125,48710030000000.0,
1594,7,,-0.033203125,289.0,48701976000000.0,
1643,7,202.75,0.0,289.0,48706810000000.0,203.45975689976953
1692,7,,0.059570312,289.0,48705466000000.0,
1741,7,,0.1015625,289.0,48698220000000.0,
1790,7,,0.11425781,289.125,48713520000000.0,
1839,7,,0.0390625,289.25,48708420000000.0,
1399,7,,0.064453125,289.125,48698487000000.0,
1448,7,,-0.024414062,289.125,48701976000000.0,
1497,7,,-0.09472656,289.125,48694997000000.0,
1546,7,204.75,-0.06738281,289.125,48703320000000.0,205.45975689976953
1595,7,199.25,-0.0146484375,289.0,48704392000000.0,199.95975689976953
1644,7,199.875,-0.005859375,289.0,48710030000000.0,200.58475689976953
1693,7,197.375,0.0068359375,289.0,48710835000000.0,198.08475689976953
1742,7,,0.04296875,289.125,48716470000000.0,
1791,7,,-0.0009765625,289.125,48716740000000.0,
1840,7,,0.021484375,289.25,48711640000000.0,
1400,7,,-0.015625,289.125,48714860000000.0,
1449,6,,-0.13183594,289.25,48711370000000.0,
1498,6,213.5,-0.11230469,289.25,48698755000000.0,214.20975689976953
1547,6,211.375,-0.033203125,289.25,48716740000000.0,212.08475689976953
1596,7,203.875,0.009765625,289.125,48708420000000.0,204.58475689976953
1645,7,202.375,0.0029296875,289.125,48716203000000.0,203.08475689976953
1694,7,196.5,0.0107421875,289.0,48717010000000.0,197.20975689976953
1743,7,,-0.001953125,289.125,48726672000000.0,
1792,7,,-0.0048828125,289.125,48712982000000.0,
1841,7,,0.021484375,289.125,48714593000000.0,
1401,7,,-0.10253906,289.125,48710030000000.0,
1450,6,,-0.125,289.25,48684796000000.0,
1499,5,219.0,-0.06738281,289.375,48689630000000.0,219.70975689976953
1548,6,214.0,-0.0068359375,289.25,48707345000000.0,214.70975689976953
1597,7,204.875,0.0009765625,289.125,48712982000000.0,205.58475689976953
1646,7,200.5,0.0029296875,289.125,48722110000000.0,201.20975689976953
1695,7,193.875,0.0107421875,289.125,48726136000000.0,194.58475689976953
1744,7,,-0.01171875,289.0,48727210000000.0,
1793,7,,-0.005859375,289.125,48721035000000.0,
1842,7,,0.0078125,289.125,48718082000000.0,
1402,7,,-0.11621094,289.125,48700903000000.0,
1451,6,,-0.08300781,289.125,48682112000000.0,
1500,5,217.625,-0.024414062,289.375,48678354000000.0,218.33475689976953
1549,6,217.125,-0.0087890625,289.25,48690434000000.0,217.83475689976953
1598,7,208.0,-0.0078125,289.125,48701170000000.0,208.70975689976953
1647,7,196.75,0.0009765625,289.125,48723720000000.0,197.45975689976953
1696,7,197.625,-0.024414062,289.125,48734725000000.0,198.33475689976953
1745,7,185.75,-0.041015625,289.125,48733650000000.0,186.45975689976953
1794,7,,-0.015625,289.125,48721840000000.0,
1843,7,,0.01171875,289.125,48718888000000.0,
1403,6,,-0.123046875,289.25,48719156000000.0,
1452,6,,-0.080078125,289.125,48680233000000.0,
1501,5,212.625,-0.005859375,289.375,48674864000000.0,213.33475689976953
1550,5,223.125,0.026367188,289.375,48690970000000.0,223.83475689976953
1599,6,211.0,0.005859375,289.25,48718350000000.0,211.70975689976953
1648,7,195.625,-0.0078125,289.125,48719960000000.0,196.33475689976953
1697,7,206.0,-0.040039062,289.125,48725867000000.0,206.70975689976953
1746,7,200.0,-0.041015625,289.125,48729357000000.0,200.70975689976953
1795,7,,-0.00390625,289.125,48728820000000.0,
1844,7,,0.015625,289.125,48726404000000.0,
1404,6,,-0.14550781,289.125,48698487000000.0,
1453,5,,-0.08203125,289.375,48693655000000.0,
1502,5,221.375,0.016601562,289.375,48677010000000.0,222.08475689976953
1551,5,220.5,0.036132812,289.375,48694460000000.0,221.20975689976953
1600,6,210.5,0.0029296875,289.25,48703587000000.0,211.20975689976953
1649,7,198.875,-0.01171875,289.125,48714324000000.0,199.58475689976953
1698,7,210.75,-0.037109375,289.125,48725060000000.0,211.45975689976953
1747,7,210.25,-0.034179688,289.125,48730700000000.0,210.95975689976953
1796,7,,-0.013671875,289.125,48732310000000.0,
1845,7,,-0.001953125,289.125,48732310000000.0,
1405,5,,-0.08691406,289.375,48694190000000.0,
1454,5,,-0.0048828125,289.25,48677817000000.0,
1503,5,217.875,0.06933594,289.25,48679696000000.0,218.58475689976953
1552,5,211.375,0.048828125,289.375,48688286000000.0,212.08475689976953
1601,6,203.875,0.029296875,289.125,48689090000000.0,204.58475689976953
1650,7,197.0,-0.025390625,289.125,48701170000000.0,197.70975689976953
1699,7,207.75,-0.036132812,289.125,48711103000000.0,208.45975689976953
1748,7,210.75,-0.04296875,289.125,48725600000000.0,211.45975689976953
1797,7,,-0.026367188,289.125,48733920000000.0,
1846,7,,-0.015625,289.125,48732846000000.0,
1406,5,,0.06347656,289.25,48690970000000.0,
1455,5,,0.08691406,289.25,48695534000000.0,
1504,6,209.75,0.064453125,289.125,48684530000000.0,210.45975689976953
1553,6,200.375,0.00390625,289.125,48684260000000.0,201.08475689976953
1602,6,205.5,0.01953125,289.125,48691240000000.0,206.20975689976953
1651,6,200.625,-0.005859375,289.25,48710298000000.0,201.33475689976953
1700,7,211.25,-0.025390625,289.125,48704124000000.0,211.95975689976953
1749,7,213.0,-0.03515625,289.125,48713788000000.0,213.70975689976953
1798,7,,-0.033203125,289.125,48730967000000.0,
1847,7,,-0.036132812,289.125,48736605000000.0,
1407,6,,0.08886719,289.125,48700097000000.0,
1456,6,,0.051757812,289.125,48696070000000.0,
1505,6,224.0,0.022460938,289.125,48685870000000.0,224.70975689976953
1554,5,210.625,-0.057617188,289.25,48680770000000.0,211.33475689976953
1603,6,204.125,-0.020507812,289.125,48686676000000.0,204.83475689976953
1652,6,196.25,-0.0087890625,289.25,48709760000000.0,196.95975689976953
1701,6,220.0,-0.020507812,289.25,48718620000000.0,220.70975689976953
1750,7,216.0,-0.029296875,289.125,48708687000000.0,216.70975689976953
1799,7,,-0.060546875,289.125,48725867000000.0,
1848,7,,-0.08496094,289.0,48728283000000.0,
1408,6,,0.043945312,289.125,48704930000000.0,
1457,6,,0.029296875,289.125,48706270000000.0,
1506,6,224.875,0.02734375,289.125,48706003000000.0,225.58475689976953
1555,5,230.25,-0.001953125,289.25,48669764000000.0,230.95975689976953
1604,5,228.0,-0.017578125,289.25,48678890000000.0,228.70975689976953
1653,6,203.625,0.0009765625,289.125,48694190000000.0,204.33475689976953
1702,6,213.875,0.028320312,289.25,48711103000000.0,214.58475689976953
1751,6,224.875,-0.0048828125,289.25,48721572000000.0,225.58475689976953
1800,7,,-0.057617188,289.0,48711910000000.0,
1849,7,,-0.059570312,289.0,48709224000000.0,
1409,6,,0.021484375,289.125,48712445000000.0,
1458,6,,0.0107421875,289.125,48712445000000.0,
1507,6,213.875,-0.00390625,289.125,48720500000000.0,214.58475689976953
1556,5,221.75,0.080078125,289.25,48691776000000.0,222.45975689976953
1605,5,231.875,0.07421875,289.25,48675940000000.0,232.58475689976953
1654,6,206.75,0.051757812,289.125,48689897000000.0,207.45975689976953
1703,6,204.25,0.04296875,289.25,48723183000000.0,204.95975689976953
1752,7,,-0.001953125,289.125,48700903000000.0,
1801,7,,-0.032226562,289.0,48706270000000.0,
1850,7,,-0.015625,289.0,48710835000000.0,
1410,6,,-0.013671875,289.125,48715935000000.0,
1459,6,,-0.01171875,289.125,48712982000000.0,
1508,6,,-0.036132812,289.125,48720500000000.0,
1557,6,,0.07519531,289.125,48710030000000.0,
1606,5,228.875,0.13183594,289.375,48702513000000.0,229.58475689976953
1655,6,200.0,0.09082031,289.125,48691776000000.0,200.70975689976953
1704,6,182.125,0.01953125,289.25,48717277000000.0,182.83475689976953
1753,6,,-0.02734375,289.25,48720767000000.0,
1802,7,,-0.036132812,289.0,48704392000000.0,
1851,7,,-0.020507812,289.0,48711910000000.0,
