grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
15183,6,,0.67578125,288.125,49043963000000.0,
15342,6,,0.43652344,287.625,49129057000000.0,
15501,6,,-0.19628906,286.875,49270254000000.0,
15660,6,,-0.22167969,286.75,49268644000000.0,
15819,6,,-0.037109375,287.0,49214690000000.0,
15978,6,,0.1640625,287.375,49184890000000.0,
16137,7,,0.20117188,287.25,49162075000000.0,
16296,7,,0.107421875,287.375,49166370000000.0,
16455,7,,0.0078125,287.375,49163150000000.0,
16614,7,,0.0009765625,287.25,49165564000000.0,
16773,7,,0.0703125,287.25,49169590000000.0,
16932,7,,0.15039062,287.125,49161000000000.0,
17091,6,,0.28125,287.375,49148116000000.0,
17250,6,,0.36914062,287.5,49127715000000.0,
17409,6,,0.47070312,287.75,49126373000000.0,
17568,6,,0.5576172,287.75,49078860000000.0,
17727,6,,0.30859375,288.0,49080740000000.0,
17886,7,,-0.03125,287.5,49105703000000.0,
18045,7,,-0.32421875,287.25,49147310000000.0,
18204,6,,-0.32226562,287.375,49157510000000.0,
18363,6,,-0.15332031,287.5,49136573000000.0,
18522,6,,0.055664062,287.75,49090940000000.0,
18681,6,,0.34472656,288.25,49018730000000.0,
18840,6,,0.6582031,288.75,48936590000000.0,
18999,6,,0.36621094,288.25,49001280000000.0,
19158,6,,-0.10546875,287.625,49109730000000.0,
19317,7,,0.099609375,287.375,49124762000000.0,
19476,7,,0.22949219,287.375,49150530000000.0,
19635,7,,0.033203125,287.25,49186502000000.0,
19794,7,,-0.1484375,287.125,49223815000000.0,
19953,7,,-0.14648438,287.125,49238847000000.0,
15184,6,,0.578125,287.875,49074028000000.0,
15343,6,,0.671875,287.875,49085570000000.0,
15502,6,,-0.040039062,287.0,49252270000000.0,
15661,6,,-0.24121094,286.75,49285287000000.0,
15820,6,,0.018554688,287.0,49230794000000.0,
15979,7,,0.14648438,287.0,49186234000000.0,
16138,7,,0.111328125,287.25,49176840000000.0,
16297,7,,0.009765625,287.375,49180330000000.0,
16456,7,,-0.059570312,287.25,49173886000000.0,
16615,7,,-0.08300781,287.125,49179523000000.0,
16774,7,,-0.060546875,287.125,49188650000000.0,
16933,7,,0.0625,287.125,49180330000000.0,
17092,6,,0.25683594,287.375,49173617000000.0,
17251,6,,0.34375,287.5,49155364000000.0,
17410,7,,0.36914062,287.5,49121810000000.0,
17569,7,,0.4501953,287.75,49085034000000.0,
17728,7,,0.26464844,287.875,49062754000000.0,
17887,6,,-0.16699219,287.75,49109730000000.0,
18046,6,,-0.3828125,287.375,49147310000000.0,
18205,6,,-0.29492188,287.25,49153485000000.0,
18364,6,,-0.15136719,287.375,49140330000000.0,
18523,6,,0.034179688,287.625,49108656000000.0,
18682,6,,0.26660156,288.0,49042890000000.0,
18841,6,,0.62402344,288.625,48945984000000.0,
19000,6,,0.5839844,288.375,48959943000000.0,
19159,6,,0.07324219,287.625,49076712000000.0,
19318,7,,0.10058594,287.375,49120200000000.0,
19477,7,,0.24511719,287.5,49140330000000.0,
19636,7,,0.09277344,287.375,49169590000000.0,
19795,7,,-0.16796875,287.125,49215760000000.0,
19954,7,,-0.22558594,287.0,49239384000000.0,
15185,6,,0.4453125,287.75,49110267000000.0,
15344,6,,0.7138672,288.125,49060606000000.0,
15503,7,,0.12402344,287.125,49191870000000.0,
15662,7,,-0.33789062,286.625,49274550000000.0,
15821,6,,0.00390625,287.0,49260320000000.0,
15980,7,,0.06347656,287.0,49202877000000.0,
16139,7,,0.05078125,287.125,49182476000000.0,
16298,7,,-0.018554688,287.25,49187576000000.0,
16457,7,,-0.08203125,287.25,49190260000000.0,
16616,7,,-0.099609375,287.125,49194287000000.0,
16775,7,,-0.12402344,287.0,49198580000000.0,
16934,7,,-0.02734375,287.0,49195360000000.0,
17093,7,,0.17285156,287.0,49178986000000.0,
17252,6,,0.24414062,287.5,49171740000000.0,
17411,6,,0.18359375,287.625,49132815000000.0,
17570,7,,0.34375,287.75,49071075000000.0,
17729,6,,0.17773438,288.0,49054700000000.0,
17888,6,,-0.0107421875,287.625,49088255000000.0,
18047,5,,-0.08984375,287.5,49144626000000.0,
18206,6,,-0.078125,287.25,49162610000000.0,
18365,6,,0.0029296875,287.375,49153216000000.0,
18524,6,,0.049804688,287.625,49129594000000.0,
18683,6,,0.26757812,287.875,49075100000000.0,
18842,6,,0.5917969,288.375,48976317000000.0,
19001,6,,0.79589844,288.5,48939810000000.0,
19160,6,,0.40820312,287.75,49061143000000.0,
19319,7,,0.13769531,287.375,49125567000000.0,
19478,7,,0.27148438,287.5,49135770000000.0,
19637,7,,0.17773438,287.375,49155095000000.0,
19796,7,,-0.12988281,287.125,49202877000000.0,
19955,7,,-0.265625,287.0,49232940000000.0,
15186,6,,0.31445312,287.625,49143820000000.0,
15345,6,,0.6611328,288.125,49057653000000.0,
15504,6,,0.28027344,287.5,49166640000000.0,
15663,7,,-0.31933594,286.625,49270790000000.0,
15822,7,,-0.20703125,286.625,49260860000000.0,
15981,7,,0.0068359375,286.875,49212810000000.0,
16140,7,,0.076171875,287.125,49188380000000.0,
16299,7,,-0.0107421875,287.25,49193750000000.0,
16458,7,,-0.12597656,287.125,49198850000000.0,
16617,7,,-0.18164062,287.125,49213883000000.0,
16776,7,,-0.18164062,287.0,49212810000000.0,
16935,7,,-0.10839844,287.0,49208514000000.0,
17094,7,,0.045898438,287.0,49200730000000.0,
17253,7,,0.25683594,287.125,49170665000000.0,
17412,6,,0.3515625,287.5,49134157000000.0,
17571,6,,0.4033203,287.875,49086107000000.0,
17730,6,,0.46972656,288.0,49041547000000.0,
17889,6,,0.31054688,287.625,49092013000000.0,
18048,6,,0.16503906,287.25,49156706000000.0,
18207,6,,0.08496094,287.25,49181134000000.0,
18366,6,,0.01171875,287.375,49177644000000.0,
18525,6,,0.029296875,287.5,49151606000000.0,
18684,6,,0.24707031,287.75,49114293000000.0,
18843,6,,0.5644531,288.25,49020610000000.0,
19002,6,,0.9716797,288.625,48941958000000.0,
19161,6,,0.6611328,288.0,49066510000000.0,
19320,7,,0.09277344,287.375,49152143000000.0,
19479,7,,0.20605469,287.5,49141405000000.0,
19638,7,,0.25683594,287.5,49140600000000.0,
19797,7,,-0.0146484375,287.25,49187845000000.0,
19956,7,,-0.21875,287.0,49224350000000.0,
15187,6,,0.20117188,287.5,49168250000000.0,
15346,7,,0.6796875,287.75,49066510000000.0,
15505,6,,0.48242188,287.75,49119125000000.0,
15664,7,,-0.18652344,286.75,49248510000000.0,
15823,7,,-0.27441406,286.625,49273207000000.0,
15982,7,,0.0087890625,286.875,49230257000000.0,
16141,7,,0.11621094,287.125,49201535000000.0,
16300,7,,-0.0546875,287.125,49203145000000.0,
16459,7,,-0.19335938,287.125,49202340000000.0,
16618,7,,-0.26367188,287.0,49210930000000.0,
16777,7,,-0.24804688,286.875,49217910000000.0,
16936,7,,-0.18847656,286.875,49216836000000.0,
17095,7,,-0.06640625,286.875,49205560000000.0,
17254,7,,0.22167969,287.0,49186502000000.0,
17413,6,,0.47070312,287.5,49162343000000.0,
17572,7,,0.69140625,287.625,49082618000000.0,
17731,6,,0.6435547,288.125,49056580000000.0,
17890,6,,0.41210938,287.75,49109730000000.0,
18049,7,,0.08984375,287.125,49172544000000.0,
18208,7,,-0.02734375,287.0,49193213000000.0,
18367,6,,-0.068359375,287.25,49184355000000.0,
18526,6,,0.0068359375,287.375,49168786000000.0,
18685,7,,0.14746094,287.375,49140600000000.0,
18844,7,,0.5263672,287.75,49063290000000.0,
19003,7,,1.0683594,288.375,48963432000000.0,
19162,7,,0.7216797,288.0,49050942000000.0,
19321,7,,-0.021484375,287.375,49165028000000.0,
19480,7,,0.103515625,287.375,49149727000000.0,
19639,7,,0.35742188,287.5,49130668000000.0,
19798,7,,0.13671875,287.375,49174423000000.0,
19957,7,,-0.11328125,287.0,49216567000000.0,
15188,7,,0.14941406,287.125,49172007000000.0,
15347,6,,0.3984375,287.75,49104360000000.0,
15506,6,,0.64160156,288.0,49086376000000.0,
15665,7,,-0.018554688,287.0,49228915000000.0,
15824,7,,-0.33789062,286.625,49285823000000.0,
15983,7,,-0.12402344,286.875,49256832000000.0,
16142,7,,-0.001953125,287.125,49225425000000.0,
16301,7,,-0.1015625,287.125,49198314000000.0,
16460,7,,-0.20214844,287.0,49198850000000.0,
16619,7,,-0.23925781,287.0,49215760000000.0,
16778,7,,-0.27929688,286.875,49224350000000.0,
16937,7,,-0.23925781,286.875,49221936000000.0,
17096,6,,-0.10839844,287.125,49228915000000.0,
17255,7,,0.09277344,287.0,49208246000000.0,
17414,7,,0.3720703,287.25,49173886000000.0,
17573,7,,0.59375,287.625,49108120000000.0,
17732,7,,0.7128906,288.0,49045305000000.0,
17891,7,,0.3623047,287.625,49098187000000.0,
18050,7,,-0.0859375,287.125,49189990000000.0,
18209,7,,-0.15722656,287.0,49212810000000.0,
18368,6,,-0.028320312,287.25,49199656000000.0,
18527,6,,0.03125,287.375,49187576000000.0,
18686,7,,0.037109375,287.25,49170128000000.0,
18845,7,,0.3076172,287.5,49118857000000.0,
19004,7,,0.79003906,288.25,49015777000000.0,
19163,7,,0.7080078,288.25,49034030000000.0,
19322,7,,-0.05078125,287.375,49166100000000.0,
19481,7,,-0.0029296875,287.375,49169590000000.0,
19640,7,,0.38378906,287.5,49142480000000.0,
19799,7,,0.24804688,287.5,49165028000000.0,
19958,7,,-0.038085938,287.125,49214690000000.0,
15189,6,,0.13378906,287.25,49197510000000.0,
15348,6,,0.45898438,287.625,49130400000000.0,
15507,6,,0.6826172,288.0,49073223000000.0,
15666,7,,0.09765625,287.125,49188113000000.0,
15825,7,,-0.4501953,286.625,49286090000000.0,
15984,7,,-0.33007812,286.75,49264080000000.0,
16143,7,,-0.13769531,287.0,49223546000000.0,
16302,7,,-0.06640625,287.0,49200730000000.0,
16461,7,,-0.13378906,287.0,49196703000000.0,
16620,7,,-0.20214844,286.875,49217372000000.0,
16779,7,,-0.24707031,286.875,49223546000000.0,
16938,7,,-0.22070312,286.75,49224620000000.0,
17097,6,,-0.09277344,287.0,49234820000000.0,
17256,7,,-0.0009765625,286.875,49210930000000.0,
17415,7,,0.23339844,287.125,49178180000000.0,
17574,7,,0.4970703,287.5,49116978000000.0,
17733,7,,0.6816406,288.0,49043158000000.0,
17892,7,,0.34472656,287.625,49092820000000.0,
18051,7,,-0.18554688,287.125,49189724000000.0,
18210,7,,-0.24511719,287.0,49221400000000.0,
18369,7,,-0.06347656,286.875,49208246000000.0,
18528,7,,0.001953125,287.0,49197510000000.0,
18687,7,,-0.033203125,287.125,49190260000000.0,
18846,7,,0.11328125,287.375,49157780000000.0,
19005,7,,0.5283203,288.0,49063560000000.0,
19164,7,,0.7841797,288.375,49009870000000.0,
19323,7,,0.033203125,287.5,49150530000000.0,
19482,7,,-0.16308594,287.25,49191870000000.0,
19641,7,,0.26464844,287.5,49154560000000.0,
19800,7,,0.28125,287.5,49154560000000.0,
19959,7,,-0.043945312,287.25,49211735000000.0,
15190,7,,0.203125,287.0,49203950000000.0,
15349,7,,0.484375,287.25,49161270000000.0,
15508,6,,0.65234375,288.0,49083155000000.0,
15667,6,,0.25,287.5,49155900000000.0,
15826,7,,-0.4267578,286.625,49265422000000.0,
15985,7,,-0.4140625,286.625,49269180000000.0,
16144,7,,-0.15136719,286.875,49225962000000.0,
16303,7,,-0.034179688,287.0,49206903000000.0,
16462,7,,-0.09277344,287.0,49202340000000.0,
16621,7,,-0.19824219,286.875,49223815000000.0,
16780,7,,-0.21289062,286.875,49234015000000.0,
16939,7,,-0.17773438,286.75,49232940000000.0,
17098,6,,-0.020507812,287.0,49246630000000.0,
17257,6,,0.072265625,287.0,49235894000000.0,
17416,7,298.75,0.26757812,287.0,49188113000000.0,412.8144608612
17575,7,193.375,0.5283203,287.375,49127983000000.0,307.4394608612
17734,7,172.125,0.7421875,288.0,49042084000000.0,286.1894608612
17893,7,,0.41308594,287.625,49089597000000.0,
18052,7,,-0.16699219,287.0,49194824000000.0,
18211,7,,-0.25683594,286.875,49228915000000.0,
18370,7,,-0.078125,286.875,49223280000000.0,
18529,7,,-0.020507812,286.875,49217640000000.0,
18688,7,,-0.06347656,287.0,49209050000000.0,
18847,7,,0.0078125,287.25,49185160000000.0,
19006,7,,0.34179688,287.625,49110804000000.0,
19165,7,,0.8076172,288.375,49010677000000.0,
19324,7,,0.19824219,287.75,49123420000000.0,
19483,7,,-0.2890625,287.125,49202070000000.0,
19642,7,,0.09082031,287.5,49161000000000.0,
19801,7,,0.29589844,287.625,49145430000000.0,
19960,7,,0.009765625,287.25,49194287000000.0,
15191,7,,0.15917969,287.0,49225157000000.0,
15350,7,,0.28320312,287.25,49192945000000.0,
15509,7,,0.6591797,287.75,49098724000000.0,
15668,6,,0.4580078,287.75,49130668000000.0,
15827,7,,-0.25878906,286.75,49238310000000.0,
15986,7,,-0.4560547,286.625,49274550000000.0,
16145,7,,-0.18554688,286.875,49234820000000.0,
16304,7,,-0.041015625,287.0,49210660000000.0,
16463,7,,-0.08203125,287.0,49203682000000.0,
16622,7,,-0.21191406,286.875,49221130000000.0,
16781,7,,-0.25390625,286.875,49239116000000.0,
16940,7,321.625,-0.18359375,286.75,49241530000000.0,435.6894608612
17099,7,311.75,-0.0625,286.75,49244216000000.0,425.8144608612
17258,7,310.5,0.07714844,286.75,49238310000000.0,424.5644608612
17417,7,311.625,0.24609375,287.0,49209588000000.0,425.6894608612
17576,7,207.375,0.52734375,287.375,49149995000000.0,321.4394608612
17735,7,177.375,0.7949219,288.0,49049600000000.0,291.4394608612
17894,7,,0.52246094,287.75,49081544000000.0,
18053,7,,-0.12597656,287.0,49201535000000.0,
18212,7,,-0.2529297,286.75,49242070000000.0,
18371,7,,-0.10644531,286.875,49241263000000.0,
18530,7,,-0.08691406,286.875,49237774000000.0,
18689,7,,-0.091796875,286.875,49228380000000.0,
18848,7,,-0.044921875,287.125,49206903000000.0,
19007,7,,0.18261719,287.375,49155632000000.0,
19166,7,,0.69140625,288.125,49037252000000.0,
19325,7,,0.43359375,287.875,49085034000000.0,
19484,7,,-0.27148438,287.125,49199656000000.0,
19643,7,,-0.045898438,287.25,49175765000000.0,
19802,7,,0.3046875,287.625,49144895000000.0,
19961,7,,0.115234375,287.375,49184890000000.0,
15192,7,,0.053710938,287.0,49240726000000.0,
15351,7,,0.08300781,287.125,49209050000000.0,
15510,7,,0.4111328,287.625,49126104000000.0,
15669,7,,0.5888672,287.625,49095234000000.0,
15828,7,,-0.10839844,286.875,49213614000000.0,
15987,7,,-0.51953125,286.625,49273475000000.0,
16146,7,,-0.26757812,286.75,49241530000000.0,
16305,7,,-0.064453125,287.0,49213614000000.0,
16464,7,,-0.09863281,287.0,49206635000000.0,
16623,7,306.25,-0.23046875,286.875,49220325000000.0,420.3144608612
16782,7,308.5,-0.26757812,286.75,49236430000000.0,422.5644608612
16941,7,314.5,-0.20410156,286.75,49246630000000.0,428.5644608612
17100,7,314.0,-0.15039062,286.75,49256027000000.0,428.0644608612
17259,7,312.875,-0.043945312,286.75,49253880000000.0,426.9394608612
17418,7,320.0,0.15429688,286.875,49223010000000.0,434.0644608612
17577,7,223.875,0.45117188,287.25,49171740000000.0,337.9394608612
17736,7,179.125,0.8076172,287.875,49066243000000.0,293.1894608612
17895,7,,0.64746094,287.75,49074565000000.0,
18054,7,,-0.08203125,287.0,49203950000000.0,
