grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
83,3,283.875,-0.0390625,291.125,48246980000000.0,283.875
94,3,279.5,-0.013671875,291.25,48238390000000.0,279.5
84,3,278.125,-0.033203125,291.0,48228993000000.0,278.125
95,3,272.25,-0.0029296875,291.125,48244830000000.0,272.25
85,3,267.625,0.00390625,290.875,48201880000000.0,267.625
96,3,266.125,0.028320312,291.0,48260670000000.0,266.125
86,3,254.25,0.059570312,290.75,48195976000000.0,254.25
97,3,242.875,0.052734375,291.0,48288317000000.0,242.875
