grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
15183,6,,-0.32226562,290.875,48420388000000.0,
15342,6,,-0.20898438,291.0,48413140000000.0,
15501,6,,-0.036132812,291.125,48405890000000.0,
15660,6,,0.07910156,291.125,48389250000000.0,
15819,6,,0.109375,291.25,48371532000000.0,
15978,6,,0.25390625,291.25,48369920000000.0,
16137,7,,0.4345703,291.125,48368580000000.0,
16296,7,,0.56347656,291.375,48358647000000.0,
16455,7,,0.66503906,291.625,48315430000000.0,
16614,7,,0.58203125,291.875,48264695000000.0,
16773,7,,0.39160156,292.25,48208055000000.0,
16932,7,,0.8232422,292.375,48161616000000.0,
17091,6,,0.8564453,292.125,48219330000000.0,
17250,6,,0.33203125,291.625,48297980000000.0,
17409,6,,-0.17480469,291.375,48376633000000.0,
17568,6,,-0.061523438,291.25,48364553000000.0,
17727,6,,-0.10449219,291.375,48370460000000.0,
17886,7,,-0.29296875,291.25,48354890000000.0,
18045,6,,-0.29003906,291.5,48358647000000.0,
18204,6,,-0.23828125,291.5,48336904000000.0,
18363,6,,-0.08984375,291.5,48324288000000.0,
18522,6,,0.00390625,291.5,48316770000000.0,
18681,6,,0.017578125,291.625,48313013000000.0,
18840,6,,-0.046875,291.625,48316770000000.0,
18999,6,,-0.14257812,291.5,48314087000000.0,
19158,6,,-0.18652344,291.375,48343347000000.0,
19317,7,,-0.20703125,291.0,48380390000000.0,
19476,7,,-0.31835938,291.0,48416093000000.0,
19635,7,,-0.41796875,290.875,48435420000000.0,
19794,7,,-0.39941406,290.875,48443740000000.0,
19953,7,,-0.27148438,291.0,48443740000000.0,
15184,6,,-0.30664062,290.875,48427367000000.0,
15343,6,,-0.19726562,291.0,48427100000000.0,
15502,6,,-0.10058594,291.0,48426025000000.0,
15661,6,,-0.0009765625,291.125,48413140000000.0,
15820,6,,0.09472656,291.125,48395960000000.0,
15979,6,,0.15625,291.25,48402670000000.0,
16138,7,,0.24511719,291.0,48397840000000.0,
16297,7,,0.4248047,291.25,48385490000000.0,
16456,7,,0.6669922,291.375,48337440000000.0,
16615,7,,0.8144531,291.75,48282680000000.0,
16774,7,,0.62109375,292.125,48226846000000.0,
16933,7,,0.7050781,292.5,48160005000000.0,
17092,6,,0.8984375,292.5,48185775000000.0,
17251,6,,0.5097656,292.0,48270332000000.0,
