grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
83,3,32.75,-0.043945312,283.75,49436147000000.0,32.75
94,3,32.125,-0.049804688,283.75,49451717000000.0,32.125
84,3,31.75,-0.059570312,283.625,49408767000000.0,31.75
95,3,31.875,-0.046875,283.625,49438295000000.0,31.875
85,3,30.0,-0.045898438,283.5,49374407000000.0,30.0
96,3,31.5,-0.022460938,283.625,49441784000000.0,31.5
86,3,25.875,-0.001953125,283.375,49361790000000.0,25.875
97,3,29.5,0.0068359375,283.625,49460843000000.0,29.5
