grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1643,7,155.625,0.020507812,287.625,48939540000000.0,155.9178966191496
1546,7,154.875,-0.053710938,287.625,48940347000000.0,155.1678966191496
1595,7,150.375,0.0029296875,287.625,48939005000000.0,150.6678966191496
1644,7,151.0,0.0107421875,287.625,48943570000000.0,151.2928966191496
1498,6,165.25,-0.11425781,287.75,48942495000000.0,165.5428966191496
1547,6,162.5,-0.030273438,287.75,48959674000000.0,162.7928966191496
1596,7,155.375,0.01953125,287.625,48945180000000.0,155.6678966191496
1645,7,153.0,0.013671875,287.625,48951084000000.0,153.2928966191496
1499,5,172.75,-0.07324219,287.875,48937930000000.0,173.0428966191496
1548,6,166.0,-0.0107421875,287.75,48951890000000.0,166.2928966191496
1597,7,155.25,0.0029296875,287.625,48951353000000.0,155.5428966191496
1646,7,149.375,0.0087890625,287.625,48958332000000.0,149.6678966191496
1695,7,142.875,0.013671875,287.625,48960750000000.0,143.1678966191496
1500,5,169.75,-0.033203125,287.75,48928267000000.0,170.0428966191496
1549,6,167.375,-0.018554688,287.75,48936050000000.0,167.6678966191496
1598,7,156.125,-0.013671875,287.625,48941152000000.0,156.4178966191496
1647,7,144.625,0.001953125,287.625,48961553000000.0,144.9178966191496
1696,7,143.625,-0.022460938,287.625,48970680000000.0,143.9178966191496
1501,5,162.625,-0.015625,287.75,48925046000000.0,162.9178966191496
1550,5,173.875,0.015625,287.875,48941958000000.0,174.1678966191496
1599,6,157.5,-0.0048828125,287.75,48964775000000.0,157.7928966191496
1648,7,140.875,-0.01171875,287.625,48959406000000.0,141.1678966191496
1697,7,147.875,-0.0390625,287.625,48963432000000.0,148.1678966191496
1502,5,168.5,0.00390625,287.75,48928000000000.0,168.7928966191496
1551,5,168.625,0.0234375,287.875,48945716000000.0,168.9178966191496
1600,6,155.25,-0.01171875,287.75,48950816000000.0,155.5428966191496
1649,7,142.375,-0.020507812,287.625,48955380000000.0,142.6678966191496
1698,7,151.0,-0.038085938,287.625,48963700000000.0,151.2928966191496
1503,5,163.375,0.053710938,287.75,48929610000000.0,163.6678966191496
1552,5,156.875,0.033203125,287.75,48940080000000.0,157.1678966191496
1601,6,147.5,0.01171875,287.625,48936320000000.0,147.7928966191496
1650,7,138.625,-0.038085938,287.625,48943300000000.0,138.9178966191496
1699,7,145.75,-0.038085938,287.625,48951084000000.0,146.0428966191496
1504,6,152.0,0.043945312,287.625,48928000000000.0,152.2928966191496
1553,6,144.125,-0.0146484375,287.625,48930415000000.0,144.4178966191496
1602,6,148.75,0.001953125,287.625,48938736000000.0,149.0428966191496
1651,6,142.125,-0.018554688,287.75,48957795000000.0,142.4178966191496
1700,7,147.125,-0.030273438,287.625,48945447000000.0,147.4178966191496
1505,6,163.125,0.005859375,287.625,48927462000000.0,163.4178966191496
1554,5,151.0,-0.06640625,287.75,48930415000000.0,151.2928966191496
1603,6,143.5,-0.03515625,287.625,48933100000000.0,143.7928966191496
1652,6,137.625,-0.021484375,287.75,48957260000000.0,137.9178966191496
1506,6,161.25,0.013671875,287.75,48945447000000.0,161.5428966191496
1555,5,167.125,-0.0126953125,287.75,48917530000000.0,167.4178966191496
1604,5,165.25,-0.025390625,287.75,48929610000000.0,165.5428966191496
1653,6,144.5,-0.0107421875,287.625,48941152000000.0,144.7928966191496
1507,6,151.375,-0.0068359375,287.75,48958064000000.0,151.6678966191496
1556,5,160.5,0.06640625,287.75,48936590000000.0,160.7928966191496
1605,5,168.75,0.06347656,287.75,48924778000000.0,169.0428966191496
1654,6,146.625,0.040039062,287.625,48935515000000.0,146.9178966191496
1606,5,168.25,0.12011719,287.875,48949742000000.0,168.5428966191496
1655,6,143.375,0.080078125,287.625,48936050000000.0,143.6678966191496
