grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1397,6,,0.056640625,290.625,48489912000000.0,
1446,6,,0.015625,290.75,48511656000000.0,
1495,6,,0.109375,290.75,48514070000000.0,
1544,7,,0.15234375,290.75,48487230000000.0,
1593,6,,0.3232422,291.5,48389250000000.0,
1642,6,,0.2763672,291.375,48398913000000.0,
1691,6,,-0.13867188,290.5,48508970000000.0,
1740,6,,-0.15722656,290.375,48552458000000.0,
1789,6,,0.0146484375,290.375,48544673000000.0,
1838,7,,-0.0048828125,290.375,48559974000000.0,
1398,6,,0.07714844,290.625,48534473000000.0,
1447,6,,0.0107421875,290.625,48528567000000.0,
1496,7,,-0.037109375,290.5,48527225000000.0,
1545,7,,-0.0009765625,290.5,48508166000000.0,
1594,6,401.5,0.19921875,291.125,48450990000000.0,483.8158966827078
1643,7,316.75,0.50390625,291.375,48349520000000.0,399.0658966827078
1692,7,212.25,0.13183594,290.75,48457700000000.0,294.5658966827078
1741,6,,-0.10546875,290.5,48566416000000.0,
1790,7,,-0.11230469,290.25,48575275000000.0,
1839,7,,-0.10253906,290.375,48565880000000.0,
1399,7,,0.026367188,290.25,48544673000000.0,
1448,7,,-0.11621094,290.375,48544673000000.0,
1497,7,,-0.203125,290.375,48528835000000.0,
1546,7,438.0,-0.091796875,290.375,48522660000000.0,520.3158966827077
1595,7,399.875,0.13574219,290.625,48485617000000.0,482.1908966827078
1644,7,362.625,0.42578125,291.25,48386296000000.0,444.9408966827078
1693,7,229.375,0.3984375,291.25,48382270000000.0,311.6908966827078
1742,7,,-0.10644531,290.5,48518366000000.0,
1791,7,,-0.3076172,290.375,48567490000000.0,
1840,7,,-0.17285156,290.375,48568564000000.0,
1400,7,,-0.072265625,290.25,48571250000000.0,
1449,6,,-0.24511719,290.5,48560780000000.0,
1498,6,461.75,-0.24511719,290.5,48539036000000.0,544.0658966827077
1547,6,455.0,-0.11621094,290.625,48540647000000.0,537.3158966827077
1596,7,417.375,0.037109375,290.5,48518100000000.0,499.6908966827078
1645,7,381.75,0.2529297,290.875,48456090000000.0,464.0658966827078
1694,7,300.875,0.5175781,291.5,48354084000000.0,383.1908966827078
1743,7,,0.13183594,291.0,48455016000000.0,
1792,7,,-0.25390625,290.375,48537962000000.0,
1841,7,,-0.20800781,290.375,48566150000000.0,
1401,7,,-0.22070312,290.25,48575006000000.0,
1450,6,,-0.22363281,290.25,48546820000000.0,
1499,5,476.125,-0.17480469,290.625,48534204000000.0,558.4408966827077
1548,6,447.375,-0.12695312,290.5,48544940000000.0,529.6908966827077
1597,7,410.875,-0.06640625,290.375,48538500000000.0,493.1908966827078
1646,7,379.0,0.091796875,290.625,48505480000000.0,461.3158966827078
1695,7,346.75,0.38671875,291.25,48406966000000.0,429.0658966827078
1744,7,200.625,0.4111328,291.375,48379854000000.0,282.9408966827078
1793,7,,-0.072265625,290.75,48495013000000.0,
1842,7,,-0.22558594,290.375,48555947000000.0,
1402,7,,-0.31347656,290.125,48587354000000.0,
1451,6,,-0.16503906,290.25,48554874000000.0,
1500,5,473.5,-0.09472656,290.5,48533667000000.0,555.8158966827077
1549,6,447.125,-0.14550781,290.375,48541720000000.0,529.4408966827077
1598,7,388.5,-0.13671875,290.375,48537425000000.0,470.8158966827078
1647,7,363.75,-0.024414062,290.5,48530715000000.0,446.0658966827078
1696,7,358.25,0.14355469,290.875,48473270000000.0,440.5658966827078
1745,7,282.25,0.42285156,291.5,48369385000000.0,364.5658966827078
1794,7,,0.19140625,291.125,48422267000000.0,
1843,7,,-0.14550781,290.5,48529910000000.0,
1403,6,,-0.3564453,290.25,48605876000000.0,
1452,5,,-0.17285156,290.375,48570980000000.0,
1501,5,445.75,-0.059570312,290.375,48540110000000.0,528.0658966827077
1550,5,468.625,-0.061523438,290.5,48544940000000.0,550.9408966827077
1599,6,410.625,-0.12011719,290.5,48555947000000.0,492.9408966827078
1648,7,351.625,-0.091796875,290.5,48539573000000.0,433.9408966827078
1697,7,378.375,0.0,290.75,48498770000000.0,460.6908966827078
1746,7,340.5,0.2578125,291.25,48410455000000.0,422.8158966827078
1795,7,,0.4111328,291.5,48369653000000.0,
1844,7,,0.0068359375,290.75,48492597000000.0,
1404,6,,-0.43066406,290.125,48583865000000.0,
1453,5,,-0.23046875,290.375,48575543000000.0,
1502,5,459.5,-0.041015625,290.375,48550310000000.0,541.8158966827077
1551,5,439.625,-0.030273438,290.5,48555947000000.0,521.9408966827077
1600,6,402.875,-0.12402344,290.375,48552458000000.0,485.1908966827078
1649,7,351.375,-0.1328125,290.375,48542794000000.0,433.6908966827078
1698,7,383.75,-0.06738281,290.625,48517830000000.0,466.0658966827078
1747,7,351.625,0.119140625,291.0,48456360000000.0,433.9408966827078
1796,7,,0.40527344,291.5,48365360000000.0,
1845,7,,0.18652344,291.125,48442668000000.0,
1405,5,,-0.26660156,290.5,48550580000000.0,
1454,5,,-0.16503906,290.25,48566416000000.0,
1503,5,,0.01171875,290.375,48562660000000.0,
1552,5,418.625,-0.0048828125,290.375,48556753000000.0,500.9408966827078
1601,6,393.5,-0.078125,290.375,48548970000000.0,475.8158966827078
1650,7,336.0,-0.16503906,290.375,48537425000000.0,418.3158966827078
1699,7,374.5,-0.11035156,290.5,48517560000000.0,456.8158966827078
1748,7,355.5,0.0234375,290.875,48478100000000.0,437.8158966827078
1797,7,,0.29101562,291.375,48395960000000.0,
1846,7,,0.30664062,291.375,48399986000000.0,
1406,5,,0.0390625,290.75,48502797000000.0,
1455,5,,-0.048828125,290.375,48577960000000.0,
1504,5,,-0.034179688,290.375,48591113000000.0,
1553,6,373.125,-0.09667969,290.125,48567490000000.0,455.4408966827078
1602,6,395.625,-0.0625,290.375,48553800000000.0,477.9408966827078
1651,6,344.625,-0.11230469,290.5,48545480000000.0,426.9408966827078
1700,7,378.125,-0.12597656,290.5,48522125000000.0,460.4408966827078
1749,7,,-0.015625,290.75,48485350000000.0,
1798,7,,0.20605469,291.25,48420388000000.0,
1847,7,,0.3330078,291.5,48386565000000.0,
1407,6,,0.26953125,291.0,48438640000000.0,
1456,6,,-0.13476562,290.25,48556216000000.0,
1505,6,,-0.18457031,290.125,48582523000000.0,
1554,5,,-0.17675781,290.375,48555947000000.0,
1603,6,,-0.12890625,290.25,48551652000000.0,
1652,6,,-0.10839844,290.5,48551384000000.0,
1701,6,,-0.11328125,290.625,48537425000000.0,
1750,7,,-0.048828125,290.625,48496355000000.0,
1799,7,,0.12792969,291.125,48437567000000.0,
1848,7,,0.29492188,291.375,48377170000000.0,
1408,6,,0.38964844,291.375,48375827000000.0,
1457,6,,-0.0234375,290.625,48518366000000.0,
1506,6,,-0.20800781,290.125,48593260000000.0,
1555,5,,-0.111328125,290.375,48545480000000.0,
1604,5,,-0.1015625,290.5,48535546000000.0,
1653,6,,-0.09863281,290.375,48540915000000.0,
1702,6,,-0.048828125,290.5,48539573000000.0,
1751,6,,-0.037109375,290.75,48514877000000.0,
1800,7,,0.09082031,291.0,48446157000000.0,
1849,7,,0.3203125,291.375,48364016000000.0,
1409,6,,0.36621094,291.5,48369920000000.0,
1458,6,,0.16308594,291.0,48455016000000.0,
1507,6,,-0.22265625,290.375,48585475000000.0,
1556,5,,-0.025390625,290.375,48568564000000.0,
1605,5,,0.033203125,290.5,48537425000000.0,
1654,6,,-0.02734375,290.375,48544940000000.0,
1703,6,,-0.03125,290.5,48560510000000.0,
1752,7,,-0.051757812,290.5,48516756000000.0,
1801,7,,0.078125,290.75,48463606000000.0,
1850,7,,0.34277344,291.25,48377438000000.0,
1410,6,,0.23242188,291.25,48409650000000.0,
1459,6,,0.3046875,291.375,48392470000000.0,
1508,6,,-0.15625,290.5,48553263000000.0,
1557,6,,-0.09765625,290.125,48597823000000.0,
1606,5,,0.11035156,290.5,48569906000000.0,
1655,6,,0.046875,290.25,48555142000000.0,
1704,6,,-0.052734375,290.5,48560510000000.0,
1753,6,,-0.09472656,290.625,48539036000000.0,
