,12
17857,0.03
17858,0.031
17859,0.0315
17860,0.032
17861,0.0325
17862,0.0328
17863,0.0326
17864,0.0324
17865,0.0318
17866,0.0315
17867,0.0309
17868,0.0298
17869,0.0289
17870,0.0281
17871,0.0269
17872,0.0255
17873,0.0244
17874,0.0229
17875,0.0215
17876,0.0202
17877,0.0186
17878,0.0171
17879,0.0154
17880,0.0135
17881,0.0116
17882,0.01
17883,0.0084
17884,0.0066
17885,0.0045
17886,0.0025
17887,0.0001
18008,0.0001
18009,0.0002
18010,0.0004
18011,0.0006
18012,0.0008
18013,0.001
18014,0.0013
18015,0.0017
18016,0.002
18017,0.0024
18018,0.0027
18019,0.0029
18020,0.0031
18021,0.0034
18022,0.0037
18023,0.0039
18024,0.0042
18025,0.0043
18026,0.0043
18027,0.0043
18028,0.0045
18029,0.0042
18030,0.0042
18031,0.0041
18032,0.004
18033,0.0038
18034,0.0035
18035,0.0033
18036,0.003
18037,0.0026
18038,0.0023
18039,0.0019
18040,0.0015
18041,0.0013
18042,0.001
18043,0.0007
18044,0.0004
18045,0.0002
18182,0.0001
18183,0.0001
18184,0.0001
18185,0.0001
18186,0.0001
18187,0.0001
18188,0.0001
18189,0.0001
18190,0.0001
18191,0.0001
18192,0.0001
18193,0.0001
18194,0.0001
