,altitude
1.0,8.804805755615234
2.0,11.837990760803223
3.0,14.088207244873047
4.0,10.285412788391113
5.0,8.57022762298584
6.0,8.649770736694336
7.0,8.280902862548828
8.0,8.178872108459473
9.0,6.896009922027588
10.0,3.7846827507019043
11.0,6.328884601593018
12.0,9.133512496948242
13.0,10.083078384399414
14.0,8.775623321533203
15.0,9.249918937683105
16.0,9.583064079284668
17.0,9.076926231384277
18.0,8.924590110778809
19.0,10.2275972366333
20.0,9.572968482971191
21.0,11.715944290161133
22.0,15.911737442016602
23.0,21.548742294311523
24.0,22.93470001220703
25.0,27.945083618164062
26.0,34.40205764770508
27.0,36.55271530151367
28.0,36.16870880126953
29.0,39.74872970581055
30.0,48.80253601074219
31.0,43.82530212402344
32.0,38.589351654052734
33.0,34.96479797363281
34.0,35.074012756347656
35.0,33.77142333984375
36.0,38.526092529296875
37.0,46.50685501098633
38.0,45.05358123779297
39.0,43.75225067138672
40.0,38.181636810302734
41.0,44.44807052612305
42.0,53.54595184326172
43.0,47.95669174194336
44.0,44.616455078125
45.0,51.774208068847656
46.0,54.60581588745117
47.0,50.81650161743164
48.0,45.239891052246094
49.0,48.53275680541992
50.0,15.86428165435791
51.0,22.3492374420166
52.0,24.846790313720703
53.0,19.46493148803711
54.0,16.48977279663086
55.0,10.772560119628906
56.0,8.026423454284668
57.0,8.059431076049805
58.0,5.8752923011779785
59.0,5.175591468811035
60.0,7.656959533691406
61.0,7.369747638702393
62.0,9.392979621887207
63.0,8.564223289489746
64.0,9.214032173156738
65.0,8.460245132446289
66.0,8.374313354492188
67.0,8.258794784545898
68.0,9.042744636535645
69.0,10.555499076843262
70.0,9.692472457885742
71.0,10.511034965515137
72.0,14.53812313079834
73.0,17.5435791015625
74.0,23.265411376953125
75.0,28.555002212524414
76.0,33.154876708984375
77.0,35.23802947998047
78.0,40.793128967285156
79.0,47.8374137878418
80.0,41.900081634521484
81.0,38.242881774902344
82.0,36.82624435424805
83.0,37.921791076660156
84.0,37.52937698364258
85.0,40.30748748779297
86.0,48.539161682128906
87.0,57.314430236816406
88.0,56.2306022644043
89.0,42.03610610961914
90.0,38.26507568359375
91.0,43.168975830078125
92.0,42.61740493774414
93.0,44.43535232543945
94.0,45.491554260253906
95.0,45.0683479309082
96.0,45.43269348144531
97.0,43.90154266357422
98.0,45.92167282104492
99.0,27.937747955322266
100.0,35.86451721191406
101.0,36.069095611572266
102.0,24.33458137512207
103.0,18.742284774780273
104.0,13.27945613861084
105.0,9.24875259399414
106.0,8.204530715942383
107.0,8.115976333618164
108.0,7.406458377838135
109.0,6.536619663238525
110.0,8.747841835021973
111.0,7.771303653717041
112.0,7.634485244750977
113.0,8.836170196533203
114.0,9.051822662353516
115.0,8.01351547241211
116.0,7.46899938583374
117.0,8.16721248626709
118.0,9.521312713623047
119.0,10.002845764160156
120.0,9.829480171203613
121.0,14.112039566040039
122.0,17.76125717163086
123.0,22.889862060546875
124.0,26.23983383178711
125.0,32.2715950012207
126.0,35.70584487915039
127.0,45.95990753173828
128.0,50.1181755065918
129.0,44.551387786865234
130.0,44.09946060180664
131.0,41.650909423828125
132.0,38.90951919555664
133.0,41.70766830444336
134.0,42.18214797973633
135.0,49.237728118896484
136.0,68.31552124023438
137.0,61.13679885864258
138.0,48.26642608642578
139.0,43.692752838134766
140.0,39.67261505126953
141.0,46.30002212524414
142.0,51.9859504699707
143.0,51.10170364379883
144.0,51.73293685913086
145.0,50.94929504394531
146.0,49.686256408691406
147.0,47.80686950683594
148.0,36.99656677246094
149.0,43.74321365356445
150.0,39.53345489501953
151.0,28.306049346923828
152.0,20.494468688964844
153.0,13.5465726852417
154.0,10.818008422851562
155.0,9.348684310913086
156.0,8.424147605895996
157.0,8.311090469360352
158.0,7.27773904800415
159.0,7.408779144287109
160.0,6.579278469085693
161.0,4.987778663635254
162.0,7.851561069488525
163.0,8.511300086975098
164.0,7.7369704246521
165.0,8.113985061645508
166.0,8.466976165771484
167.0,9.132560729980469
168.0,9.622241973876953
169.0,10.233464241027832
170.0,15.072494506835938
171.0,15.328587532043457
172.0,21.142009735107422
173.0,27.182762145996094
174.0,34.42213439941406
175.0,37.90284729003906
176.0,46.71696090698242
177.0,53.13393020629883
178.0,45.77309036254883
179.0,48.02163314819336
180.0,49.208221435546875
181.0,43.80915069580078
182.0,42.618568420410156
183.0,39.898101806640625
184.0,54.669586181640625
185.0,72.53794860839844
186.0,66.28241729736328
187.0,58.49013900756836
188.0,48.85572052001953
189.0,45.31879425048828
190.0,55.596797943115234
191.0,65.45126342773438
192.0,69.4909439086914
193.0,71.72180938720703
194.0,68.47704315185547
195.0,60.98891067504883
196.0,55.05044937133789
197.0,44.01081848144531
198.0,45.58243179321289
199.0,38.56422805786133
200.0,25.352643966674805
201.0,18.32720184326172
202.0,12.700736999511719
203.0,10.380644798278809
204.0,8.346684455871582
205.0,5.424614906311035
206.0,4.662220001220703
207.0,5.42454719543457
208.0,6.552138328552246
209.0,7.081908226013184
210.0,4.721243381500244
211.0,7.576730728149414
212.0,7.851040840148926
213.0,7.838513374328613
214.0,7.559063911437988
215.0,7.148414134979248
216.0,9.059176445007324
217.0,9.029242515563965
218.0,11.607259750366211
219.0,13.392661094665527
220.0,13.88255500793457
221.0,17.459924697875977
222.0,26.342750549316406
223.0,36.40449523925781
224.0,43.331764221191406
225.0,52.02928924560547
226.0,55.72489547729492
227.0,51.62894821166992
228.0,58.06502914428711
229.0,52.86795425415039
230.0,47.61667251586914
231.0,44.33832550048828
232.0,40.61052703857422
233.0,46.82344055175781
234.0,61.09857940673828
235.0,71.01561737060547
236.0,57.9022331237793
237.0,48.835052490234375
238.0,44.411067962646484
239.0,54.126373291015625
240.0,63.24849319458008
241.0,68.25945281982422
242.0,79.79216766357422
243.0,85.04023742675781
244.0,77.0633544921875
245.0,69.23575592041016
246.0,53.493865966796875
247.0,48.52527618408203
248.0,37.944583892822266
249.0,23.001937866210938
250.0,15.290781021118164
251.0,11.447066307067871
252.0,9.075088500976562
253.0,8.45902156829834
254.0,6.203081130981445
255.0,3.60611629486084
256.0,3.156430959701538
257.0,5.427144527435303
258.0,7.4513421058654785
259.0,5.579896450042725
260.0,7.813436031341553
261.0,8.197379112243652
262.0,7.822721481323242
263.0,8.428510665893555
264.0,8.201142311096191
265.0,8.867744445800781
266.0,9.674933433532715
267.0,11.467460632324219
268.0,11.11241626739502
269.0,13.266607284545898
270.0,18.094797134399414
271.0,25.855201721191406
272.0,36.70536804199219
273.0,47.024410247802734
274.0,54.620304107666016
275.0,55.57624816894531
276.0,55.2851448059082
277.0,66.18697357177734
278.0,56.61229705810547
279.0,49.32467269897461
280.0,46.94960021972656
281.0,42.70938491821289
282.0,43.52621078491211
283.0,49.030357360839844
284.0,63.31282043457031
285.0,55.17620849609375
286.0,48.91796112060547
287.0,44.367000579833984
288.0,48.20157241821289
289.0,56.135765075683594
290.0,66.42804718017578
291.0,75.60745239257812
292.0,83.03952026367188
293.0,87.02176666259766
294.0,87.11835479736328
295.0,56.023048400878906
296.0,50.227294921875
297.0,36.21955108642578
298.0,22.215295791625977
299.0,14.962300300598145
300.0,11.698214530944824
301.0,9.79909610748291
302.0,6.667238235473633
303.0,2.6652426719665527
304.0,2.142879009246826
305.0,0.7277891635894775
306.0,7.801345348358154
307.0,8.320542335510254
308.0,7.671654224395752
309.0,12.277663230895996
310.0,9.721323013305664
311.0,7.231911659240723
312.0,7.983887195587158
313.0,9.302903175354004
314.0,8.914627075195312
315.0,13.894018173217773
316.0,12.01089096069336
317.0,12.286299705505371
318.0,13.586487770080566
319.0,17.6455078125
320.0,25.00545310974121
321.0,35.059837341308594
322.0,44.02396011352539
323.0,50.64836120605469
324.0,55.14442825317383
325.0,59.43228530883789
326.0,62.94110870361328
327.0,58.98326110839844
328.0,54.459285736083984
329.0,50.92349624633789
330.0,45.03675842285156
331.0,47.745574951171875
332.0,48.881473541259766
333.0,52.758079528808594
334.0,54.03689956665039
335.0,52.78113555908203
336.0,46.94758224487305
337.0,46.7208251953125
338.0,55.31123352050781
339.0,64.00587463378906
340.0,72.36659240722656
341.0,74.90894317626953
342.0,78.68262481689453
343.0,78.46491241455078
344.0,52.765785217285156
345.0,46.923118591308594
346.0,34.29584884643555
347.0,21.898393630981445
348.0,15.1044921875
349.0,11.561635971069336
350.0,10.58166217803955
351.0,5.878694534301758
352.0,5.475123882293701
353.0,6.604236602783203
354.0,6.904585361480713
355.0,7.164947509765625
356.0,8.886861801147461
357.0,9.25057601928711
358.0,15.735042572021484
359.0,10.168715476989746
360.0,9.135717391967773
361.0,7.997141361236572
362.0,11.486557960510254
363.0,8.267586708068848
364.0,8.694283485412598
365.0,11.029277801513672
366.0,12.176889419555664
367.0,15.300140380859375
368.0,20.08315658569336
369.0,24.92435073852539
370.0,33.430728912353516
371.0,39.00441360473633
372.0,45.688987731933594
373.0,54.095314025878906
374.0,61.80582809448242
375.0,65.21014404296875
376.0,61.80425262451172
377.0,57.34041213989258
378.0,52.52957534790039
379.0,49.77573013305664
380.0,53.49422836303711
381.0,54.821083068847656
382.0,53.97519302368164
383.0,58.260520935058594
384.0,53.59696960449219
385.0,48.4886589050293
386.0,47.911476135253906
387.0,48.7802734375
388.0,54.126060485839844
389.0,59.58548355102539
390.0,61.95100402832031
391.0,68.26429748535156
392.0,65.25624084472656
393.0,46.33842468261719
394.0,40.49531936645508
395.0,36.363525390625
396.0,24.772275924682617
397.0,15.202434539794922
398.0,12.49007797241211
399.0,8.233619689941406
400.0,7.603574275970459
401.0,7.243398666381836
402.0,7.748817443847656
403.0,8.281203269958496
404.0,7.458314895629883
405.0,6.898695468902588
406.0,7.787959575653076
407.0,8.917645454406738
408.0,10.795823097229004
409.0,8.046741485595703
410.0,8.563679695129395
411.0,10.388568878173828
412.0,11.19139289855957
413.0,11.192687034606934
414.0,11.66619873046875
415.0,13.146388053894043
416.0,20.068138122558594
417.0,25.480327606201172
418.0,26.93262481689453
419.0,32.98856735229492
420.0,36.537872314453125
421.0,39.914363861083984
422.0,48.86795425415039
423.0,56.54780197143555
424.0,62.719120025634766
425.0,62.67517852783203
426.0,59.392364501953125
427.0,54.66959762573242
428.0,53.634212493896484
429.0,56.97013854980469
430.0,60.64699172973633
431.0,57.63334274291992
432.0,54.27275085449219
433.0,49.739585876464844
434.0,50.62136459350586
435.0,52.50617980957031
436.0,52.252525329589844
437.0,51.69266891479492
438.0,52.117305755615234
439.0,50.685787200927734
440.0,54.97665786743164
441.0,57.06332015991211
442.0,30.943378448486328
443.0,38.24299240112305
444.0,30.979999542236328
445.0,24.70442008972168
446.0,14.963164329528809
447.0,10.052322387695312
448.0,6.143854141235352
449.0,6.602619647979736
450.0,7.932075023651123
451.0,7.503037452697754
452.0,8.170839309692383
453.0,7.002439498901367
454.0,6.9111833572387695
455.0,7.471023082733154
456.0,8.980371475219727
457.0,11.690057754516602
458.0,9.918509483337402
459.0,8.71652889251709
460.0,11.945067405700684
461.0,13.825029373168945
462.0,15.013705253601074
463.0,17.232311248779297
464.0,16.04314422607422
465.0,21.615829467773438
466.0,26.406431198120117
467.0,28.723066329956055
468.0,32.338890075683594
469.0,34.997623443603516
470.0,36.68668746948242
471.0,40.38872146606445
472.0,48.526695251464844
473.0,55.10732650756836
474.0,55.239322662353516
475.0,59.641334533691406
476.0,61.685794830322266
477.0,59.4848747253418
478.0,61.993919372558594
479.0,65.22896575927734
480.0,61.19679260253906
481.0,54.1552734375
482.0,55.08422088623047
483.0,63.57155990600586
484.0,62.80378341674805
485.0,58.95758056640625
486.0,58.44853591918945
487.0,63.51094055175781
488.0,56.51290512084961
489.0,65.16400909423828
490.0,69.91083526611328
491.0,21.53514862060547
492.0,26.462783813476562
493.0,28.194660186767578
494.0,22.199541091918945
495.0,14.143226623535156
496.0,7.622537136077881
497.0,10.678640365600586
498.0,8.655157089233398
499.0,8.63327407836914
500.0,8.748723030090332
501.0,7.647907733917236
502.0,6.854508399963379
503.0,7.13409948348999
504.0,7.362477779388428
505.0,8.278277397155762
506.0,9.816573143005371
507.0,12.72922134399414
508.0,15.03477954864502
509.0,23.23143196105957
510.0,22.663564682006836
511.0,25.465824127197266
512.0,29.924148559570312
513.0,20.845867156982422
514.0,23.35968017578125
515.0,26.00687026977539
516.0,32.84236526489258
517.0,32.27910232543945
518.0,33.47361755371094
519.0,36.415653228759766
520.0,35.83470153808594
521.0,40.69407653808594
522.0,47.30933380126953
523.0,49.42829513549805
524.0,55.9423828125
525.0,68.36973571777344
526.0,70.98188781738281
527.0,68.46212768554688
528.0,67.8582534790039
529.0,62.9343147277832
530.0,57.910308837890625
531.0,64.7221450805664
532.0,71.6043472290039
533.0,64.9989013671875
534.0,60.911705017089844
535.0,66.66049194335938
536.0,73.9637222290039
537.0,63.887874603271484
538.0,63.09023666381836
539.0,71.79234313964844
540.0,15.311155319213867
541.0,23.572195053100586
542.0,23.560028076171875
543.0,18.662221908569336
544.0,10.619828224182129
545.0,7.468983173370361
546.0,7.389484405517578
547.0,7.334096431732178
548.0,8.034500122070312
549.0,7.633562088012695
550.0,7.830261707305908
551.0,7.165928840637207
552.0,7.290851593017578
553.0,6.8611860275268555
554.0,8.483396530151367
555.0,10.662857055664062
556.0,12.526633262634277
557.0,19.147865295410156
558.0,33.07948684692383
559.0,39.32324981689453
560.0,30.689714431762695
561.0,30.108070373535156
562.0,24.14876937866211
563.0,27.176116943359375
564.0,28.687522888183594
565.0,34.7806396484375
566.0,30.150272369384766
567.0,31.490066528320312
568.0,32.47916030883789
569.0,33.34270477294922
570.0,37.93408203125
571.0,44.41315841674805
572.0,45.75719451904297
573.0,52.534095764160156
574.0,64.5593490600586
575.0,76.98389434814453
576.0,82.97621154785156
577.0,81.43699645996094
578.0,77.18180847167969
579.0,67.90845489501953
580.0,70.44941711425781
581.0,72.26878356933594
582.0,66.94638061523438
583.0,65.15267944335938
584.0,70.73019409179688
585.0,74.76896667480469
586.0,64.74250793457031
587.0,65.24529266357422
588.0,77.4062271118164
589.0,11.413670539855957
590.0,16.10807991027832
591.0,15.498709678649902
592.0,10.72370719909668
593.0,7.886483669281006
594.0,5.1805195808410645
595.0,5.487620830535889
596.0,7.459253311157227
597.0,7.550445079803467
598.0,5.852230548858643
599.0,6.786846160888672
600.0,6.154442310333252
601.0,6.270449161529541
602.0,15.032482147216797
603.0,13.948615074157715
604.0,12.853839874267578
605.0,12.325864791870117
606.0,19.38175392150879
607.0,29.04136848449707
608.0,34.74606704711914
609.0,32.30474090576172
610.0,28.67081069946289
611.0,26.387367248535156
612.0,28.046430587768555
613.0,31.746341705322266
614.0,33.7010612487793
615.0,28.99972915649414
616.0,30.278017044067383
617.0,30.95522689819336
618.0,33.77463912963867
619.0,40.84487533569336
620.0,46.9559440612793
621.0,51.76779556274414
622.0,55.01554870605469
623.0,63.18813705444336
624.0,77.54100036621094
625.0,93.80438995361328
626.0,99.67127990722656
627.0,99.55795288085938
628.0,89.19539642333984
629.0,81.6711654663086
630.0,75.93155670166016
631.0,73.9874267578125
632.0,75.96142578125
633.0,81.3829345703125
634.0,75.39574432373047
635.0,65.0337142944336
636.0,70.681396484375
637.0,82.6532974243164
638.0,8.184128761291504
639.0,7.3957343101501465
640.0,12.093761444091797
641.0,7.451984882354736
642.0,5.3766188621521
643.0,5.57920503616333
644.0,6.663749694824219
645.0,6.754838943481445
646.0,6.41171407699585
647.0,6.680488586425781
648.0,7.562686443328857
649.0,7.718581199645996
650.0,5.234030723571777
651.0,12.00998306274414
652.0,15.317930221557617
653.0,13.972626686096191
654.0,14.107686042785645
