,broadleaf,needleleaf,C3,C4,shrubs,lake,soil,ice,canyon,roof
1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2.0,0.0029547757589382952,0.0,0.8499109885979357,0.0,0.0,0.0,0.09999775547289853,0.0,0.044668921216579144,0.002467558953648405
3.0,0.053492478068779305,0.0,0.4666972997877946,0.0,0.0,0.0,0.10000075556030427,0.0,0.31941617111111775,0.06039329547200417
4.0,0.0,0.0,0.5138644247173655,0.0,0.0,0.0,0.09999924147891188,0.0,0.3243132178017638,0.06182311600195883
5.0,0.0,0.0,0.5893656075154265,0.0,0.0,0.0,0.09999922721202764,0.0,0.26476931835513895,0.04586584691740697
6.0,0.0,0.0,0.6553680547385388,0.0,0.0,0.0,0.10000535039768778,0.0,0.211723284542217,0.032903310321556384
7.0,0.0,0.0,0.8428415318889958,0.0,0.0,0.0,0.09999933421279253,0.0,0.053897643112662985,0.0032614907855486666
8.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0
9.0,0.0,0.0,0.8607189408363528,0.0,0.0,0.0,0.09999919154519465,0.0,0.037362438296677056,0.0019194293217755162
10.0,0.0,0.0,0.5738689343488299,0.0,0.0,0.0,0.09999920937888476,0.0,0.277141261595543,0.04899059467674233
11.0,0.0,0.0,0.29903715861583463,0.0,0.0,0.0,0.4528895108763666,0.0,0.21450173457436453,0.033571595933434284
12.0,0.0,0.0,0.25761706156653036,0.0,0.0,0.0,0.14335509552355274,0.0,0.47017015983641547,0.12885768307350137
13.0,0.0,0.0,0.26540023629431386,0.0,0.0,0.0,0.06635005907357847,0.0,0.5109547466380664,0.15729495799404125
14.0,0.0,0.0,0.23703762789497815,0.0,0.0,0.0,0.05925940697374454,0.0,0.5314958584111865,0.17220710672009087
15.0,0.0,0.0,0.12287264064161742,0.0,0.0,0.0,0.030718160160404354,0.0,0.597347221303084,0.24906197789489426
