,broadleaf,needleleaf,C3,C4,shrubs,lake,soil,ice,canyon,roof
1.0,0.0,0.0,0.899119596951108,0.0,0.0,0.0,0.10088040304889197,0.0,0.0,0.0
2.0,0.012868097955717013,0.0,0.6731677511701504,0.0,0.0,0.0,0.10109323033270838,0.0,0.18607128882641125,0.026799631715013122
3.0,0.005732077573778357,0.0,0.7349850908589186,0.0,0.0,0.0,0.10000051884141918,0.0,0.14230111063866563,0.016981202087218233
4.0,0.0,0.0,0.731772272085418,0.0,0.0,0.0,0.12381881050765521,0.0,0.12994462903736803,0.014464288369558764
5.0,0.0,0.0,0.3117294189150765,0.0,0.0,0.0,0.09024474836534539,0.0,0.4695678378608686,0.1284579948587095
6.0,0.0,0.0,0.14140518185511727,0.0,0.0,0.0,0.029732148661297916,0.0,0.5933683864151386,0.23549428306844622
7.0,0.0,0.0,0.03948561388552292,0.0,0.0,0.1422099811184146,0.027638332491988132,0.0,0.5785493942342234,0.21211667826985092
8.0,0.0,0.0,0.6243911996830046,0.0,0.0,0.102085866638332,0.10668752372972383,0.0,0.14853203246643285,0.01830337748250674
9.0,0.0,0.0,0.5582246440425592,0.0,0.0,0.0,0.14912277544335276,0.0,0.2503604949885244,0.04229208552556368
10.0,0.0,0.0,0.7529990458060681,0.0,0.0,0.0,0.09635686723992637,0.0,0.1351398183966037,0.015504268557401835
11.0,0.02193791261802666,0.0,0.35015059189015624,0.0,0.0,0.0,0.12414018797939896,0.0,0.4098106936514903,0.09396061386092774
12.0,0.0891435148612081,0.0,0.4527507424233063,0.0,0.0,0.0,0.11009333185477409,0.0,0.29450540918496415,0.0535070016757474
13.0,0.03196567729178385,0.0,0.2561774396026198,0.0,0.0,0.0,0.08380862206314732,0.0,0.48743009799296744,0.1406181630494816
14.0,0.0,0.0,0.03764621093723507,0.0,0.0,0.0,0.009411552734308767,0.0,0.527977846356869,0.42496438997158725
15.0,0.0,0.0,0.2820935572298824,0.0,0.0,0.0,0.06068424182051385,0.0,0.5045301139621654,0.1526920869874383
16.0,0.0,0.0,0.36658848642716374,0.0,0.0,0.0,0.07985941620886494,0.0,0.4422321497841474,0.111319947579824
17.0,0.0,0.0,0.1834370702022139,0.0,0.0,0.0,0.04585926755055347,0.0,0.5687146479661768,0.20198901428105587
18.0,0.0,0.0,0.12087758144745629,0.0,0.0,0.0,0.08647818502414135,0.0,0.5794644914914291,0.2131797420369732
19.0,0.0,0.0,0.0869138437401358,0.0,0.0,0.0,0.21370732075710408,0.0,0.5290020750051132,0.17037676049764694
20.0,0.0,0.0,0.645329183570297,0.0,0.0,0.0,0.09817569451834798,0.0,0.22128709685170903,0.035208025059646014
21.0,0.0,0.0,0.4536635380907659,0.0,0.0,0.0,0.09361249054190836,0.0,0.37417497130940974,0.07854900005791582
22.0,0.0,0.0,0.3374479344876238,0.0,0.0,0.0,0.08436198362190594,0.0,0.45753265427064305,0.12065742761982712
23.0,0.0,0.0,0.36979600598651235,0.0,0.0,0.0,0.09192585161620816,0.0,0.432514627372855,0.10576351502442444
24.0,0.0,0.0,0.18463861145482624,0.0,0.0,0.0,0.13591498752315176,0.0,0.5174618210501032,0.16198457997191873
25.0,0.0,0.0,0.10967506569170785,0.0,0.0,0.0,0.07165600370000473,0.0,0.5901060505849365,0.228562880023351
26.0,0.0,0.0,0.05395738658555863,0.0,0.0,0.0,0.06458961433240087,0.0,0.596527983150276,0.28492501593176456
27.0,0.0,0.0,0.1283527635096928,0.0,0.0,0.0,0.2508852681286957,0.0,0.4831259791338304,0.1376359892277812
28.0,0.0,0.0,0.16995297781158736,0.0,0.0,0.0,0.08791882940109642,0.0,0.5533290284904154,0.1887991642969008
29.0,0.0,0.0,0.09038246004019988,0.0,0.0,0.0,0.02259561501004997,0.0,0.5949680323094687,0.2920538926402815
30.0,0.0,0.0,0.14294308247487542,0.0,0.0,0.0,0.035735770618718854,0.0,0.5910128428267335,0.2303083040796723
31.0,0.0,0.0,0.04957861964498051,0.0,0.0,0.0,0.012394654911245128,0.0,0.5529571716431381,0.38506955380063623
32.0,0.0,0.0,0.10193735263822078,0.0,0.0,0.0,0.025484338159555194,0.0,0.5981023912642298,0.2744759179379943
33.0,0.0,0.0,0.28994975542779866,0.0,0.0,0.0,0.06372388022236813,0.0,0.4981640682508534,0.14816229609897985
34.0,0.0,0.0,0.42914575844826375,0.0,0.0,0.0,0.11635589695818195,0.0,0.37545442195175266,0.07904392264180166
35.0,0.0,0.0,0.10480038571398305,0.0,0.0,0.0,0.034504835988547596,0.0,0.5986595623284473,0.262035215969022
36.0,0.0,0.0,0.13482428802712562,0.0,0.0,0.0,0.033706072006781405,0.0,0.5940999869609991,0.23736965300509383
37.0,0.0,0.0,0.14202225837233717,0.0,0.0,0.0,0.03550556459308429,0.0,0.5913941651046138,0.2310780119299647
38.0,0.0,0.0,0.29371292229457924,0.0,0.0,0.0,0.0662789815125154,0.0,0.4944624288612063,0.14554566733169905
39.0,0.0,0.0,0.47381775846644825,0.0,0.0,0.2528129005371166,0.06374329324931831,0.0,0.18344264574628663,0.026183402000830303
40.0,0.0004947657776297058,0.0,0.35370582935007694,0.0,0.0,0.5203457416270107,0.05884471142973934,0.0,0.06249937068268718,0.004109581132856158
41.0,0.022881928330646263,0.0,0.7301468419965411,0.0,0.0,0.0,0.12087060128894829,0.0,0.11454343050776312,0.011557197876101197
42.0,0.0,0.0,0.5988641046408186,0.0,0.0,0.0,0.09597767897218812,0.0,0.2603858517599038,0.04477236462708961
43.0,0.0,0.0,0.8951555198899167,0.0,0.0,0.0,0.10000021085392691,0.0,0.004664876847145122,0.00017939240901121076
44.0,0.0,0.0,0.44637788235611314,0.0,0.0,0.0,0.2861371024110967,0.0,0.2301343829889705,0.03735063224381957
45.0,0.0,0.0,0.38231809276987455,0.0,0.0,0.0,0.17967329386122832,0.0,0.3634569291797466,0.07455168418915037
46.0,0.0,0.0,0.28723856360307726,0.0,0.0,0.0,0.08615609784929523,0.0,0.4865790497631129,0.14002628878451467
47.0,0.0,0.0,0.3480176986415729,0.0,0.0,0.0,0.08700442466039322,0.0,0.44938145186151773,0.11559642483651617
48.0,0.0,0.0,0.3578179451707527,0.0,0.0,0.0,0.0989409649416469,0.0,0.4356931818370161,0.10754790805058423
49.0,0.0,0.0,0.3364571610354544,0.0,0.0,0.0,0.08311914428860824,0.0,0.4588993441248523,0.12152435055108507
50.0,0.0,0.0,0.7333755496665586,0.0,0.0,0.0,0.14340744844785996,0.0,0.11209547092989317,0.011121530955688172
51.0,0.0031269229715349474,0.0,0.6005208185099672,0.0,0.0,0.0,0.09404264789269423,0.0,0.2581041032795009,0.04420550734630285
52.0,0.04526090929002913,0.0,0.6471626759512376,0.0,0.0,0.0,0.11508584326866089,0.0,0.16952613311299444,0.02296443837707804
53.0,0.015995901363047755,0.0,0.7679364476108894,0.0,0.0,0.0,0.10945303853390916,0.0,0.09786772229192311,0.00874689020023059
54.0,0.0,0.0,0.25918883929509834,0.0,0.0,0.0,0.05983070377854847,0.0,0.5183521112106113,0.16262834571574192
55.0,0.0,0.0,0.18303777458750856,0.0,0.0,0.0,0.04574148408755319,0.0,0.5689811280995941,0.20223961322534412
56.0,0.0,0.0,0.15869433439644504,0.0,0.0,0.0,0.04365366469945258,0.0,0.5817232353945349,0.21592876550956763
57.0,0.0,0.0,0.1611929938735108,0.0,0.0,0.23204902082843062,0.03910896799434661,0.0,0.4510390241066028,0.11660999319710919
58.0,0.0,0.0,0.4872994765648639,0.0,0.0,0.26464258147921754,0.0802236157983125,0.0,0.14935412751302382,0.018480198644582224
59.0,0.0,0.0,0.6869103306759378,0.0,0.0,0.1732778409123082,0.08267215452321974,0.0,0.05387982938922932,0.0032598444993049147
