,hour,grids
0,12.0,15183
1,12.0,15184
2,12.0,15185
3,12.0,15186
4,12.0,15187
5,12.0,15188
6,12.0,15189
7,12.0,15190
8,12.0,15191
9,12.0,15192
10,12.0,15193
11,12.0,15194
12,12.0,15195
13,12.0,15196
14,12.0,15197
15,12.0,15198
16,12.0,15199
17,12.0,15199
18,12.0,15200
19,12.0,15201
20,12.0,15202
21,12.0,15203
22,12.0,15204
23,12.0,15205
24,12.0,15206
25,12.0,15207
26,12.0,15208
27,12.0,15209
28,12.0,15210
29,12.0,15211
30,12.0,15212
31,12.0,15213
32,12.0,15214
33,12.0,15214
34,12.0,15215
35,12.0,15216
36,12.0,15217
37,12.0,15218
38,12.0,15219
39,12.0,15220
40,12.0,15221
41,12.0,15222
42,12.0,15223
43,12.0,15224
44,12.0,15225
45,12.0,15226
46,12.0,15227
47,12.0,15228
48,12.0,15229
49,12.0,15229
50,12.0,15230
51,12.0,15231
52,12.0,15232
53,12.0,15233
54,12.0,15234
55,12.0,15235
56,12.0,15236
57,12.0,15237
58,12.0,15238
59,12.0,15239
60,12.0,15240
61,12.0,15241
62,12.0,15242
63,12.0,15243
64,12.0,15244
65,12.0,15342
66,12.0,15343
67,12.0,15344
68,12.0,15345
69,12.0,15346
70,12.0,15347
71,12.0,15348
72,12.0,15349
73,12.0,15350
74,12.0,15351
75,12.0,15352
76,12.0,15353
77,12.0,15354
78,12.0,15355
79,12.0,15356
80,12.0,15357
81,12.0,15358
82,12.0,15358
83,12.0,15359
84,12.0,15360
85,12.0,15361
86,12.0,15362
87,12.0,15363
88,12.0,15364
89,12.0,15365
90,12.0,15366
91,12.0,15367
92,12.0,15368
93,12.0,15369
94,12.0,15370
95,12.0,15371
96,12.0,15372
97,12.0,15373
98,12.0,15373
99,12.0,15374
100,12.0,15375
101,12.0,15376
102,12.0,15377
103,12.0,15378
104,12.0,15379
105,12.0,15380
106,12.0,15381
107,12.0,15382
108,12.0,15383
109,12.0,15384
110,12.0,15385
111,12.0,15386
112,12.0,15387
113,12.0,15388
