hour,weighted_av_a,av_a,len_grids,explicit
6,24.246282268656223,26.053230654759453,80,-0.3217693452405434
7,43.88510519774307,47.19408797242503,67,-0.290986654440637
8,93.18155543569584,94.2851274928412,70,0.1244132071269064
9,157.74052004652614,154.96116584991884,52,0.2928966191495874
10,209.0638547066985,209.80960618008896,65,0.8480677185505101
11,263.62366708190154,259.3700819472291,66,0.0954607351079062
12,322.1946606586673,327.0408558874214,55,81.87721952378502
13,340.9373357000485,335.3171925790808,62,9.565176450048568
14,483.6299663489628,461.40531286285176,45,81.29142397396282
15,402.8322034820224,391.9439353441225,55,21.007571707758814
16,350.44812626270755,352.3094260666303,61,4.282786722367973
17,324.3919267435128,307.38888033625483,62,0.7800093685128218
18,261.7173917758032,259.8894886480582,49,5.113978443976578
