,hour,grids
354,12.0,16799
355,12.0,16799
356,12.0,16800
357,12.0,16800
358,12.0,16800
359,12.0,16800
360,12.0,16801
361,12.0,16801
362,12.0,16802
363,12.0,16802
364,12.0,16803
365,12.0,16803
366,12.0,16803
367,12.0,16803
368,12.0,16804
369,12.0,16804
370,12.0,16805
371,12.0,16805
372,12.0,16806
373,12.0,16806
374,12.0,16806
375,12.0,16806
376,12.0,16807
377,12.0,16807
378,12.0,16808
379,12.0,16808
380,12.0,16809
381,12.0,16809
382,12.0,16810
383,12.0,16810
384,12.0,16810
385,12.0,16810
386,12.0,16811
387,12.0,16811
388,12.0,16812
389,12.0,16812
390,12.0,16813
391,12.0,16813
392,12.0,16813
393,12.0,16813
394,12.0,16814
395,12.0,16814
396,12.0,16815
397,12.0,16815
398,12.0,16816
399,12.0,16816
400,12.0,16816
401,12.0,16816
402,12.0,16817
403,12.0,16817
404,12.0,16818
405,12.0,16818
406,12.0,16819
407,12.0,16819
408,12.0,16820
409,12.0,16820
410,12.0,16820
411,12.0,16821
412,12.0,16822
413,12.0,16823
414,12.0,16939
415,12.0,16940
416,12.0,16941
417,12.0,16942
418,12.0,16942
419,12.0,16943
420,12.0,16944
421,12.0,16945
422,12.0,16945
423,12.0,16946
424,12.0,16947
425,12.0,16948
426,12.0,16949
427,12.0,16949
428,12.0,16950
429,12.0,16951
430,12.0,16952
431,12.0,16952
432,12.0,16953
433,12.0,16954
434,12.0,16955
435,12.0,16955
436,12.0,16956
437,12.0,16957
438,12.0,16958
439,12.0,16959
440,12.0,16959
441,12.0,16960
442,12.0,16961
443,12.0,16962
444,12.0,16962
445,12.0,16963
446,12.0,16964
447,12.0,16965
448,12.0,16965
449,12.0,16966
450,12.0,16967
451,12.0,16968
452,12.0,16969
453,12.0,16969
454,12.0,16970
455,12.0,16971
456,12.0,16972
457,12.0,16972
458,12.0,16973
459,12.0,16974
460,12.0,16975
461,12.0,16975
462,12.0,16976
463,12.0,16977
464,12.0,16978
465,12.0,16979
466,12.0,16979
467,12.0,16980
468,12.0,16981
469,12.0,16982
470,12.0,17098
471,12.0,17099
472,12.0,17100
473,12.0,17101
474,12.0,17101
475,12.0,17102
476,12.0,17103
477,12.0,17104
478,12.0,17104
479,12.0,17105
480,12.0,17106
481,12.0,17107
482,12.0,17108
483,12.0,17108
484,12.0,17109
485,12.0,17110
486,12.0,17111
487,12.0,17111
488,12.0,17112
489,12.0,17113
490,12.0,17114
491,12.0,17114
492,12.0,17115
493,12.0,17116
494,12.0,17117
495,12.0,17118
496,12.0,17118
497,12.0,17119
498,12.0,17120
499,12.0,17121
500,12.0,17121
501,12.0,17122
502,12.0,17123
503,12.0,17124
504,12.0,17124
505,12.0,17125
506,12.0,17126
507,12.0,17127
508,12.0,17128
509,12.0,17128
510,12.0,17129
511,12.0,17130
512,12.0,17131
513,12.0,17131
514,12.0,17132
515,12.0,17133
516,12.0,17134
517,12.0,17134
518,12.0,17135
519,12.0,17136
520,12.0,17137
521,12.0,17138
522,12.0,17138
523,12.0,17139
524,12.0,17140
525,12.0,17141
526,12.0,17257
527,12.0,17257
528,12.0,17258
529,12.0,17258
530,12.0,17259
531,12.0,17259
532,12.0,17260
533,12.0,17260
534,12.0,17260
535,12.0,17260
536,12.0,17261
537,12.0,17261
538,12.0,17262
539,12.0,17262
540,12.0,17263
541,12.0,17263
542,12.0,17263
543,12.0,17263
544,12.0,17264
545,12.0,17264
546,12.0,17265
547,12.0,17265
548,12.0,17266
549,12.0,17266
550,12.0,17267
551,12.0,17267
552,12.0,17267
553,12.0,17267
554,12.0,17268
555,12.0,17268
556,12.0,17269
557,12.0,17269
558,12.0,17270
559,12.0,17270
560,12.0,17270
561,12.0,17270
562,12.0,17271
563,12.0,17271
564,12.0,17272
565,12.0,17272
566,12.0,17273
567,12.0,17273
568,12.0,17273
569,12.0,17273
570,12.0,17274
571,12.0,17274
572,12.0,17275
573,12.0,17275
574,12.0,17276
575,12.0,17276
576,12.0,17277
577,12.0,17277
578,12.0,17277
579,12.0,17277
580,12.0,17278
581,12.0,17278
582,12.0,17279
583,12.0,17279
584,12.0,17280
585,12.0,17280
586,12.0,17280
587,12.0,17280
588,12.0,17281
589,12.0,17281
590,12.0,17282
591,12.0,17282
592,12.0,17283
593,12.0,17283
594,12.0,17283
595,12.0,17283
596,12.0,17284
597,12.0,17284
598,12.0,17285
599,12.0,17285
600,12.0,17286
601,12.0,17286
602,12.0,17287
603,12.0,17287
604,12.0,17287
605,12.0,17287
606,12.0,17288
607,12.0,17288
608,12.0,17289
609,12.0,17289
610,12.0,17290
611,12.0,17290
612,12.0,17290
613,12.0,17290
614,12.0,17291
615,12.0,17291
616,12.0,17292
617,12.0,17292
618,12.0,17293
619,12.0,17293
620,12.0,17293
621,12.0,17293
622,12.0,17294
623,12.0,17294
624,12.0,17295
625,12.0,17295
626,12.0,17296
627,12.0,17296
628,12.0,17297
629,12.0,17297
630,12.0,17297
631,12.0,17297
632,12.0,17298
633,12.0,17298
634,12.0,17299
635,12.0,17299
636,12.0,17300
637,12.0,17300
638,12.0,17416
639,12.0,17417
640,12.0,17418
641,12.0,17419
642,12.0,17419
643,12.0,17420
644,12.0,17421
645,12.0,17422
646,12.0,17422
647,12.0,17423
648,12.0,17424
649,12.0,17425
650,12.0,17426
651,12.0,17426
652,12.0,17427
653,12.0,17428
654,12.0,17429
655,12.0,17429
656,12.0,17430
657,12.0,17431
658,12.0,17432
659,12.0,17432
660,12.0,17433
661,12.0,17434
662,12.0,17435
663,12.0,17436
664,12.0,17436
665,12.0,17437
666,12.0,17438
667,12.0,17439
668,12.0,17439
669,12.0,17440
670,12.0,17441
671,12.0,17442
672,12.0,17442
673,12.0,17443
674,12.0,17444
675,12.0,17445
676,12.0,17446
677,12.0,17446
678,12.0,17447
679,12.0,17448
680,12.0,17449
681,12.0,17449
682,12.0,17450
683,12.0,17451
684,12.0,17452
685,12.0,17452
686,12.0,17453
687,12.0,17454
688,12.0,17455
689,12.0,17456
690,12.0,17456
691,12.0,17457
692,12.0,17458
693,12.0,17459
694,12.0,17575
695,12.0,17576
696,12.0,17577
697,12.0,17578
698,12.0,17578
699,12.0,17579
700,12.0,17580
701,12.0,17581
702,12.0,17581
703,12.0,17582
704,12.0,17583
705,12.0,17584
706,12.0,17585
707,12.0,17585
708,12.0,17586
709,12.0,17587
710,12.0,17588
711,12.0,17588
712,12.0,17589
713,12.0,17590
714,12.0,17591
715,12.0,17591
716,12.0,17592
717,12.0,17593
718,12.0,17594
719,12.0,17595
720,12.0,17595
721,12.0,17596
722,12.0,17597
723,12.0,17598
724,12.0,17598
725,12.0,17599
726,12.0,17600
727,12.0,17601
728,12.0,17601
729,12.0,17602
730,12.0,17603
731,12.0,17604
732,12.0,17605
733,12.0,17605
734,12.0,17606
735,12.0,17607
736,12.0,17608
737,12.0,17608
738,12.0,17609
739,12.0,17610
740,12.0,17611
741,12.0,17611
742,12.0,17612
743,12.0,17613
744,12.0,17614
745,12.0,17615
746,12.0,17615
747,12.0,17616
748,12.0,17617
749,12.0,17618
750,12.0,17734
751,12.0,17735
752,12.0,17736
753,12.0,17737
754,12.0,17737
755,12.0,17738
756,12.0,17739
757,12.0,17740
758,12.0,17740
759,12.0,17741
760,12.0,17742
761,12.0,17743
762,12.0,17744
763,12.0,17744
764,12.0,17745
765,12.0,17746
766,12.0,17747
767,12.0,17747
768,12.0,17748
769,12.0,17749
770,12.0,17750
771,12.0,17750
772,12.0,17751
773,12.0,17752
774,12.0,17753
775,12.0,17754
776,12.0,17754
777,12.0,17755
778,12.0,17756
779,12.0,17757
780,12.0,17757
781,12.0,17758
782,12.0,17759
783,12.0,17760
784,12.0,17760
785,12.0,17761
786,12.0,17762
787,12.0,17763
788,12.0,17764
789,12.0,17764
790,12.0,17765
791,12.0,17766
792,12.0,17767
793,12.0,17767
794,12.0,17768
795,12.0,17769
796,12.0,17770
797,12.0,17770
798,12.0,17771
799,12.0,17772
800,12.0,17773
801,12.0,17774
802,12.0,17774
803,12.0,17775
804,12.0,17776
805,12.0,17777
806,12.0,17893
807,12.0,17894
808,12.0,17895
809,12.0,17896
810,12.0,17896
811,12.0,17897
812,12.0,17898
813,12.0,17899
814,12.0,17899
815,12.0,17899
816,12.0,17900
817,12.0,17900
818,12.0,17901
819,12.0,17901
820,12.0,17902
821,12.0,17902
822,12.0,17903
823,12.0,17903
824,12.0,17903
825,12.0,17903
826,12.0,17904
827,12.0,17904
828,12.0,17905
829,12.0,17905
830,12.0,17906
831,12.0,17906
832,12.0,17906
833,12.0,17906
834,12.0,17907
835,12.0,17907
836,12.0,17908
837,12.0,17908
838,12.0,17909
839,12.0,17909
840,12.0,17909
841,12.0,17909
842,12.0,17910
843,12.0,17910
844,12.0,17911
845,12.0,17911
846,12.0,17912
847,12.0,17912
848,12.0,17913
849,12.0,17913
850,12.0,17913
851,12.0,17913
852,12.0,17914
853,12.0,17914
854,12.0,17915
855,12.0,17915
856,12.0,17916
857,12.0,17916
858,12.0,17916
859,12.0,17916
860,12.0,17917
861,12.0,17917
862,12.0,17918
863,12.0,17918
864,12.0,17919
865,12.0,17919
866,12.0,17919
867,12.0,17919
868,12.0,17920
869,12.0,17920
870,12.0,17921
871,12.0,17921
872,12.0,17922
873,12.0,17922
874,12.0,17923
875,12.0,17923
876,12.0,17923
877,12.0,17923
878,12.0,17924
879,12.0,17924
880,12.0,17925
881,12.0,17925
882,12.0,17926
883,12.0,17926
884,12.0,17926
885,12.0,17926
886,12.0,17927
887,12.0,17927
888,12.0,17928
889,12.0,17928
890,12.0,17929
891,12.0,17929
892,12.0,17929
893,12.0,17929
894,12.0,17930
895,12.0,17930
896,12.0,17931
897,12.0,17931
898,12.0,17932
899,12.0,17932
900,12.0,17933
901,12.0,17933
902,12.0,17933
903,12.0,17934
904,12.0,17935
905,12.0,17936
906,12.0,18058
907,12.0,18059
908,12.0,18060
909,12.0,18061
910,12.0,18062
911,12.0,18062
912,12.0,18063
913,12.0,18064
914,12.0,18065
915,12.0,18065
916,12.0,18066
917,12.0,18067
918,12.0,18068
919,12.0,18068
920,12.0,18069
921,12.0,18070
922,12.0,18071
923,12.0,18072
924,12.0,18072
925,12.0,18073
926,12.0,18074
927,12.0,18075
928,12.0,18075
929,12.0,18076
930,12.0,18077
931,12.0,18078
932,12.0,18078
933,12.0,18079
934,12.0,18080
935,12.0,18081
936,12.0,18082
937,12.0,18082
938,12.0,18083
939,12.0,18084
940,12.0,18085
941,12.0,18085
942,12.0,18086
943,12.0,18087
944,12.0,18088
945,12.0,18088
946,12.0,18089
947,12.0,18090
948,12.0,18091
949,12.0,18092
950,12.0,18217
951,12.0,18218
952,12.0,18219
953,12.0,18220
954,12.0,18221
955,12.0,18221
956,12.0,18222
957,12.0,18223
958,12.0,18224
959,12.0,18224
960,12.0,18225
961,12.0,18226
962,12.0,18227
963,12.0,18227
964,12.0,18228
965,12.0,18229
966,12.0,18230
967,12.0,18231
968,12.0,18231
969,12.0,18232
970,12.0,18233
971,12.0,18234
972,12.0,18234
973,12.0,18235
974,12.0,18236
975,12.0,18237
976,12.0,18237
977,12.0,18238
978,12.0,18239
979,12.0,18240
980,12.0,18241
981,12.0,18241
982,12.0,18242
983,12.0,18243
984,12.0,18244
985,12.0,18244
986,12.0,18245
987,12.0,18246
988,12.0,18247
989,12.0,18247
990,12.0,18248
991,12.0,18249
992,12.0,18250
993,12.0,18251
994,12.0,18376
995,12.0,18377
996,12.0,18378
997,12.0,18379
998,12.0,18380
999,12.0,18380
1000,12.0,18381
1001,12.0,18382
1002,12.0,18383
1003,12.0,18383
1004,12.0,18384
1005,12.0,18385
1006,12.0,18386
1007,12.0,18386
1008,12.0,18387
1009,12.0,18388
1010,12.0,18389
1011,12.0,18390
1012,12.0,18390
1013,12.0,18391
1014,12.0,18392
1015,12.0,18393
1016,12.0,18393
1017,12.0,18394
1018,12.0,18395
1019,12.0,18396
1020,12.0,18396
1021,12.0,18397
1022,12.0,18398
1023,12.0,18399
1024,12.0,18400
1025,12.0,18400
1026,12.0,18401
1027,12.0,18402
1028,12.0,18403
1029,12.0,18403
1030,12.0,18404
1031,12.0,18405
1032,12.0,18406
1033,12.0,18406
1034,12.0,18407
1035,12.0,18408
1036,12.0,18409
1037,12.0,18410
