,x,y,descrip,grid
3,285198.2222399973,5710598.406246245,BR,82.0
4,284504.8070480956,5711404.151839904,MID,82.0
0,283811.39185619395,5712209.897433562,BL,83.0
1,283924.98853344884,5713707.865470547,TL,83.0
2,285425.41559450707,5713594.342320217,TR,83.0
3,285311.8189172522,5712096.374283232,BR,83.0
4,284618.4037253505,5712902.1198768895,MID,83.0
0,283924.98853344884,5713707.865470547,BL,84.0
1,284038.5852107037,5715205.833507534,TL,84.0
2,285539.01227176195,5715092.310357204,TR,84.0
3,285425.41559450707,5713594.342320217,BR,84.0
4,284732.0004026054,5714400.0879138755,MID,84.0
0,284038.5852107037,5715205.833507534,BL,85.0
1,284152.1818879586,5716703.801544519,TL,85.0
2,285652.60894901684,5716590.278394189,TR,85.0
3,285539.01227176195,5715092.310357204,BR,85.0
4,284845.5970798603,5715898.055950861,MID,85.0
0,284152.1818879586,5716703.801544519,BL,86.0
1,284265.7785652135,5718201.769581506,TL,86.0
2,285766.2056262717,5718088.246431176,TR,86.0
3,285652.60894901684,5716590.278394189,BR,86.0
4,284959.19375711516,5717396.023987847,MID,86.0
0,284265.7785652135,5718201.769581506,BL,87.0
1,284379.3752424684,5719699.737618491,TL,87.0
2,285879.8023035266,5719586.214468161,TR,87.0
3,285766.2056262717,5718088.246431176,BR,87.0
4,285072.79043437005,5718893.992024833,MID,87.0
0,284379.3752424684,5719699.737618491,BL,88.0
1,284492.97191972326,5721197.705655478,TL,88.0
2,285993.3989807815,5721084.1825051475,TR,88.0
3,285879.8023035266,5719586.214468161,BR,88.0
4,285186.38711162494,5720391.960061819,MID,88.0
0,284743.83553097775,5704606.534098301,BL,89.0
1,284857.43220823264,5706104.502135288,TL,89.0
2,286357.8592692909,5705990.978984958,TR,89.0
3,286244.262592036,5704493.010947971,BR,89.0
4,285550.8474001343,5705298.756541629,MID,89.0
0,284857.43220823264,5706104.502135288,BL,90.0
1,284971.0288854875,5707602.470172273,TL,90.0
2,286471.45594654576,5707488.947021943,TR,90.0
3,286357.8592692909,5705990.978984958,BR,90.0
4,285664.4440773892,5706796.724578615,MID,90.0
0,284971.0288854875,5707602.470172273,BL,91.0
1,285084.6255627424,5709100.43820926,TL,91.0
2,286585.05262380064,5708986.9150589295,TR,91.0
3,286471.45594654576,5707488.947021943,BR,91.0
4,285778.0407546441,5708294.692615601,MID,91.0
0,285084.6255627424,5709100.43820926,BL,92.0
