,x,y,descrip,grid
3,289926.69677768176,5713253.772869226,BR,117.0
4,289233.2815857801,5714059.518462884,MID,117.0
0,288539.8663938784,5714865.264056543,BL,118.0
1,288653.4630711333,5716363.232093528,TL,118.0
2,290153.89013219153,5716249.7089431975,TR,118.0
3,290040.29345493665,5714751.7409062125,BR,118.0
4,289346.878263035,5715557.48649987,MID,118.0
0,288653.4630711333,5716363.232093528,BL,119.0
1,288767.0597483882,5717861.200130515,TL,119.0
2,290267.4868094464,5717747.676980184,TR,119.0
3,290153.89013219153,5716249.7089431975,BR,119.0
4,289460.47494028986,5717055.454536856,MID,119.0
0,288767.0597483882,5717861.200130515,BL,120.0
1,288880.6564256431,5719359.1681675,TL,120.0
2,290381.0834867013,5719245.645017169,TR,120.0
3,290267.4868094464,5717747.676980184,BR,120.0
4,289574.07161754475,5718553.422573842,MID,120.0
0,288880.6564256431,5719359.1681675,BL,121.0
1,288994.25310289796,5720857.136204487,TL,121.0
2,290494.6801639562,5720743.613054156,TR,121.0
3,290381.0834867013,5719245.645017169,BR,121.0
4,289687.66829479963,5720051.390610828,MID,121.0
